.	Basic Statistics	Per Base Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
SRR5642565_1	1	1	1	0.25	1	1	0.5	1	1	1
SRR5642565_2	1	1	1	0.25	1	1	0.5	1	0.5	1
SRR5642566_1	1	1	1	0.25	1	1	0.5	1	1	1
SRR5642566_2	1	1	1	0.25	1	1	0.5	1	0.5	1
SRR5642568_1	1	1	1	0.25	1	1	0.5	1	1	1
SRR5642568_2	1	1	1	0.25	1	1	0.5	1	0.5	1
SRR5642569_1	1	1	1	0.25	1	1	0.5	1	1	1
SRR5642569_2	1	1	1	0.25	1	1	0.5	1	0.5	1
SRR5642571_1	1	1	1	0.25	1	1	0.5	0.5	1	1
SRR5642571_2	1	1	1	0.25	1	1	0.5	0.5	0.5	1
SRR5642572_1	1	1	1	0.25	1	1	0.5	0.5	1	1
SRR5642572_2	1	1	1	0.25	1	1	0.5	0.5	0.5	1
