Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64
SRR5642565_1 - polya	(1, 0.0028539403249315237)	(2, 0.004547407461711774)	(3, 0.008212952208419241)	(4, 0.013802120569724016)	(5, 0.05061988892115386)	(6, 0.07850758593328186)	(7, 0.10444258693361459)	(8, 0.13212435446559045)	(9, 0.1576862597018829)	(10, 0.17433262979747247)	(11, 0.1908869373019352)	(12, 0.20564844697919138)	(13, 0.2189272643993524)	(14, 0.22839759778658272)	(15, 0.2353943547122213)	(16, 0.24323905655613326)	(17, 0.24907776299338705)	(18, 0.254579714163098)	(19, 0.26154013059223913)	(20, 0.26773255119540124)	(21, 0.2734816177412947)	(22, 0.2795286763584671)	(23, 0.28550305398264464)	(24, 0.2912739248264366)	(25, 0.2972071165545837)	(26, 0.3026121597336348)	(27, 0.3076174574512142)	(28, 0.3127293539585194)	(29, 0.3180665615441087)	(30, 0.32334562433530206)	(31, 0.329101958980495)	(32, 0.3343567947740234)	(33, 0.33993142693672923)	(34, 0.3452952842197499)	(35, 0.350460480121918)	(36, 0.3552598483593453)	(37, 0.36034267246945256)	(38, 0.3650572462150525)	(39, 0.3701037298286623)	(40, 0.3747068593850035)	(41, 0.37950138222289775)	(42, 0.38410693447900546)	(43, 0.3889353751136307)	(44, 0.39326716229612435)	(45, 0.39797204524265833)	(46, 0.4027423410828877)	(47, 0.4073139755422644)	(48, 0.41197282719323497)	(49, 0.4164984303570483)	(50, 0.42094650712833376)	(51, 0.4256586581741672)	(52, 0.43048225340925944)	(53, 0.4351096099632656)	(54, 0.43961340882918043)	(55, 0.4445775206507294)	(56, 0.4491540005096391)	(57, 0.45390249205197003)	(58, 0.4583360326246565)	(59, 0.4629900388760941)	(60, 0.4679105421018461)	(61, 0.4728334680273647)	(62, 0.4772791220988837)	(63, 0.4823498327101584)	(64, 0.48677368248377895)	(65, 0.48677368248377895)
SRR5642565_1 - polyg	(1, 0.03269675604862126)	(2, 0.04740738903078103)	(3, 0.06616635332275453)	(4, 0.11384993012691604)	(5, 0.2207539800232899)	(6, 0.2348177521677954)	(7, 0.2454025274476136)	(8, 0.26648001541612315)	(9, 0.281924726427531)	(10, 0.2903339173170364)	(11, 0.303048245691604)	(12, 0.3178800136620885)	(13, 0.33047078434856486)	(14, 0.34438919450708066)	(15, 0.35568139811871546)	(16, 0.3917263252446333)	(17, 0.40573195259474293)	(18, 0.413523355043792)	(19, 0.4248204040549598)	(20, 0.4359624002810719)	(21, 0.4435309143516034)	(22, 0.45227443780888515)	(23, 0.4603056875348172)	(24, 0.46668950141953247)	(25, 0.47419987069566805)	(26, 0.4818677154566258)	(27, 0.4876337409008848)	(28, 0.49456508493282797)	(29, 0.5004619361644776)	(30, 0.5078124072560246)	(31, 0.5128055914747714)	(32, 0.5183753782379443)	(33, 0.52348000664595)	(34, 0.5283496331766057)	(35, 0.5322889429969271)	(36, 0.5366352663780197)	(37, 0.5401409129401386)	(38, 0.54455022651516)	(39, 0.5495264518355415)	(40, 0.5543500470706337)	(41, 0.5602372075032175)	(42, 0.5651092567336397)	(43, 0.5692448052350472)	(44, 0.5726632346055721)	(45, 0.576365119848777)	(46, 0.580532163447149)	(47, 0.5848179193340793)	(48, 0.5886288260667765)	(49, 0.5920302965389359)	(50, 0.5964347647144245)	(51, 0.5998241216877515)	(52, 0.6033249228503372)	(53, 0.6074192854557144)	(54, 0.6107165798379146)	(55, 0.6141907313030689)	(56, 0.618074319028761)	(57, 0.6216453784845751)	(58, 0.6251582931459934)	(59, 0.6283901746344982)	(60, 0.6317674181089927)	(61, 0.6348490922119748)	(62, 0.6381100460976775)	(63, 0.6414194539787101)	(64, 0.6444841691833268)	(65, 0.6471539843260047)
SRR5642565_2 - polya	(1, 0.0005208804497965004)	(2, 0.0009230486110347288)	(3, 0.001482692257095155)	(4, 0.0022870285795716116)	(5, 0.0036195134511440544)	(6, 0.006381391184948755)	(7, 0.0127676277694305)	(8, 0.01935494843453136)	(9, 0.02648979924686017)	(10, 0.03535203499270016)	(11, 0.04372730808547459)	(12, 0.051162573668848826)	(13, 0.0588352638293396)	(14, 0.06699976204242894)	(15, 0.07385842508137727)	(16, 0.08054507643690444)	(17, 0.08822018929716172)	(18, 0.09429147491199906)	(19, 0.10111379745444997)	(20, 0.10749034323986574)	(21, 0.11441926457204245)	(22, 0.1222058216215585)	(23, 0.13085970518747989)	(24, 0.1366935662252007)	(25, 0.1428472236320989)	(26, 0.148775569960713)	(27, 0.15674867489224922)	(28, 0.16292413659704585)	(29, 0.1688403694268275)	(30, 0.17457247707435553)	(31, 0.18357522940665225)	(32, 0.18978460890817983)	(33, 0.19687342842494523)	(34, 0.2034922441870105)	(35, 0.20952476660558395)	(36, 0.21588677619240074)	(37, 0.22255889134932894)	(38, 0.22890636473754675)	(39, 0.23650879660480917)	(40, 0.24428566285525924)	(41, 0.2544537337752402)	(42, 0.2615231716938737)	(43, 0.26845936112534985)	(44, 0.2746542044282785)	(45, 0.2816146208574196)	(46, 0.28795240344657147)	(47, 0.29450822901470786)	(48, 0.3016745749240011)	(49, 0.30794936731922407)	(50, 0.3148710205521013)	(51, 0.3219622627686332)	(52, 0.3299499038987684)	(53, 0.33718650810129)	(54, 0.34471383627579105)	(55, 0.35252946572250504)	(56, 0.36128994807815223)	(57, 0.36936238370011476)	(58, 0.37862921030695945)	(59, 0.38919702668841216)	(60, 0.3980495716351862)	(61, 0.4096179630202015)	(62, 0.4195025780675025)	(63, 0.42755563209133307)	(64, 0.4347825454947887)	(65, 0.4347825454947887)
SRR5642565_2 - polyg	(1, 0.125607292093718)	(2, 0.1303364020379169)	(3, 0.1339922559855584)	(4, 0.1362284078700336)	(5, 0.137839503214753)	(6, 0.13926162797768576)	(7, 0.14036153367167467)	(8, 0.14127246878387692)	(9, 0.14214464069981525)	(10, 0.14323727829450464)	(11, 0.14427419379456466)	(12, 0.14554368847220822)	(13, 0.14762236487186123)	(14, 0.1486180944758908)	(15, 0.1498827437540014)	(16, 0.1516004378884466)	(17, 0.15273910677869942)	(18, 0.1536742688885666)	(19, 0.15484201017601737)	(20, 0.1555518612076005)	(21, 0.15630774353474705)	(22, 0.1572283694460153)	(23, 0.1582652849460753)	(24, 0.15942818083399307)	(25, 0.1608212331997279)	(26, 0.1621222229743359)	(27, 0.16343774894754287)	(28, 0.16460549023499363)	(29, 0.16560606523855623)	(30, 0.16659452674328631)	(31, 0.16748123485782362)	(32, 0.16860052214994448)	(33, 0.1696810462458014)	(34, 0.17136482258351568)	(35, 0.1729153504340727)	(36, 0.17398860643063013)	(37, 0.17495041823792878)	(38, 0.17608181902888212)	(39, 0.17735858180582517)	(40, 0.17847060099864653)	(41, 0.17962138338773181)	(42, 0.1807358252803197)	(43, 0.18221367213788187)	(44, 0.1839531705702255)	(45, 0.18521781984833607)	(46, 0.1869839679781112)	(47, 0.18816624546416094)	(48, 0.18952295733339833)	(49, 0.1906228630273872)	(50, 0.19158952023421885)	(51, 0.1928662830111619)	(52, 0.19435624336755655)	(53, 0.19555063435243877)	(54, 0.1967813658338184)	(55, 0.19824952189231457)	(56, 0.19979035894380562)	(57, 0.20132877329553017)	(58, 0.20302950853160992)	(59, 0.20485137875601442)	(60, 0.20654484589279468)	(61, 0.2078264540692707)	(62, 0.20895058676092454)	(63, 0.2102152360390351)	(64, 0.2116325154024349)	(65, 0.21301103156957077)
SRR5642566_1 - polya	(1, 0.001509572594852301)	(2, 0.002812225581687464)	(3, 0.005920722420308558)	(4, 0.01056935952314812)	(5, 0.044207903981025094)	(6, 0.07043731565637933)	(7, 0.09405906999888122)	(8, 0.12033550885787571)	(9, 0.1440607230043862)	(10, 0.16011345213998845)	(11, 0.1755948009943616)	(12, 0.18929852230713293)	(13, 0.2019841050940927)	(14, 0.21115675726312513)	(15, 0.21787694180531808)	(16, 0.2249898033309072)	(17, 0.2306424708044663)	(18, 0.23594948847826946)	(19, 0.2424980238001755)	(20, 0.24836936767766177)	(21, 0.2539750079675806)	(22, 0.25960651320850153)	(23, 0.2654684516492598)	(24, 0.27100119980453624)	(25, 0.2766327050454572)	(26, 0.28155409981341023)	(27, 0.28643081875690507)	(28, 0.291154699353569)	(29, 0.29619836479898676)	(30, 0.3010351106363874)	(31, 0.3065725615100278)	(32, 0.3116632541390858)	(33, 0.3169867313271631)	(34, 0.3223384248254245)	(35, 0.32725746823419555)	(36, 0.33183321320239273)	(37, 0.3368651218519004)	(38, 0.3415396239057421)	(39, 0.34645396459614913)	(40, 0.3509380065562478)	(41, 0.35575359016101027)	(42, 0.3602188212476528)	(43, 0.3646934577710234)	(44, 0.36897058012310496)	(45, 0.373715622952407)	(46, 0.3783078274348783)	(47, 0.38284830201534525)	(48, 0.3871277757266088)	(49, 0.39148954700924277)	(50, 0.39595242673670333)	(51, 0.4003000898642452)	(52, 0.404983997354815)	(53, 0.4094445257230935)	(54, 0.4138838918587339)	(55, 0.4183914474106527)	(56, 0.4230447872318563)	(57, 0.42734777453493994)	(58, 0.4314508963075525)	(59, 0.4359772627329274)	(60, 0.4404354397420239)	(61, 0.44504410373876924)	(62, 0.4494952266703197)	(63, 0.4544166214382728)	(64, 0.45851033777415734)	(65, 0.45851033777415734)
SRR5642566_1 - polyg	(1, 0.0365895002313032)	(2, 0.05148771200853713)	(3, 0.0696119885834928)	(4, 0.11514841050235519)	(5, 0.20682555364985733)	(6, 0.21972746148156228)	(7, 0.22956084558074033)	(8, 0.24840228670620995)	(9, 0.26244930645955517)	(10, 0.2707942801965191)	(11, 0.28229712931492634)	(12, 0.29595617480323944)	(13, 0.30752956469710707)	(14, 0.3203209586472574)	(15, 0.33054701972983164)	(16, 0.3546037755210059)	(17, 0.36700484384694215)	(18, 0.37400484013179464)	(19, 0.3839910625778035)	(20, 0.3945322057907675)	(21, 0.40156276974498617)	(22, 0.4094445257230935)	(23, 0.41661381986905094)	(24, 0.42231116316706824)	(25, 0.42910659120308564)	(26, 0.4360642630226619)	(27, 0.44111498254562564)	(28, 0.4478351670878186)	(29, 0.45306929262697937)	(30, 0.4594838004755107)	(31, 0.4639537342805172)	(32, 0.4688727776892883)	(33, 0.47331449518411073)	(34, 0.47776796947484323)	(35, 0.48144549523551144)	(36, 0.48549923846530174)	(37, 0.48886873617312626)	(38, 0.4932069938639401)	(39, 0.4977874415505013)	(40, 0.5018670497312937)	(41, 0.5072869326458336)	(42, 0.51172159606311)	(43, 0.5158435287091786)	(44, 0.5192200804945492)	(45, 0.5228646872266692)	(46, 0.5267844029830847)	(47, 0.530824038057783)	(48, 0.5346920239121943)	(49, 0.5382966575382201)	(50, 0.5425361581433894)	(51, 0.546117278177595)	(52, 0.5495714248159721)	(53, 0.5532818696051884)	(54, 0.5564914748886362)	(55, 0.5597904318210002)	(56, 0.5635149847653087)	(57, 0.5669667800445037)	(58, 0.5705479000787094)	(59, 0.5737222349744269)	(60, 0.576837785890594)	(61, 0.5802002295208725)	(62, 0.5833510508247698)	(63, 0.5863819528103845)	(64, 0.5891518539267957)	(65, 0.5920769447492198)
SRR5642566_2 - polya	(1, 0.0004773259139486248)	(2, 0.0008182729953404996)	(3, 0.0013449774521113959)	(4, 0.0021279800597217018)	(5, 0.0035152819771093304)	(6, 0.0063251561996147815)	(7, 0.012683231427777743)	(8, 0.01924352354559382)	(9, 0.026391655458913126)	(10, 0.03537149617502051)	(11, 0.04375879437726063)	(12, 0.05152768511463135)	(13, 0.05991028059850744)	(14, 0.06885955364524865)	(15, 0.07627809186449945)	(16, 0.08333687212890226)	(17, 0.0914161422782987)	(18, 0.09830327332241456)	(19, 0.1055478109621964)	(20, 0.11290991656107888)	(21, 0.12009331886212839)	(22, 0.1280432642565141)	(23, 0.1370795375929898)	(24, 0.1432330445723176)	(25, 0.14943593009446773)	(26, 0.15611379017138446)	(27, 0.16434589866761173)	(28, 0.17120716476072545)	(29, 0.177673402511261)	(30, 0.18437242482081584)	(31, 0.1937096721325892)	(32, 0.20002307153629392)	(33, 0.207679097032928)	(34, 0.21489071564416168)	(35, 0.22169319775772509)	(36, 0.22836635511627776)	(37, 0.23522526985020947)	(38, 0.2421758875922397)	(39, 0.2499541837663385)	(40, 0.25791353459745225)	(41, 0.26825481227994513)	(42, 0.27554167438500315)	(43, 0.28288026639206554)	(44, 0.28956282918734627)	(45, 0.29695785381477696)	(46, 0.3032218746756594)	(47, 0.31009019484631917)	(48, 0.3173112188942809)	(49, 0.32412545780375435)	(50, 0.3313770495210822)	(51, 0.3387203442465086)	(52, 0.34670791138780654)	(53, 0.35407471970505305)	(54, 0.3620528814096229)	(55, 0.37004279991010286)	(56, 0.3794200203279704)	(57, 0.3875839394079193)	(58, 0.39680126740141)	(59, 0.4070484907166223)	(60, 0.4161553048285584)	(61, 0.428081398599728)	(62, 0.43836389230267053)	(63, 0.4463749730357886)	(64, 0.4538334843611336)	(65, 0.4538334843611336)
SRR5642566_2 - polyg	(1, 0.20488568232469664)	(2, 0.21155883968324934)	(3, 0.21660485648784908)	(4, 0.21948527148581493)	(5, 0.2215920893128985)	(6, 0.22370831257671014)	(7, 0.22546948060403785)	(8, 0.22674626863987085)	(9, 0.22809124609198225)	(10, 0.22965725130720285)	(11, 0.23121855380405945)	(12, 0.23292799192938285)	(13, 0.2363374627433016)	(14, 0.23786819757079203)	(15, 0.23953295987165718)	(16, 0.2415386692539142)	(17, 0.24295418748148598)	(18, 0.2443062190111434)	(19, 0.24580638616926767)	(20, 0.24684333556853538)	(21, 0.24783560914334482)	(22, 0.24894309931807293)	(23, 0.25011407619071535)	(24, 0.2514849185938289)	(25, 0.2530650319641416)	(26, 0.2545816586365399)	(27, 0.2560300958926599)	(28, 0.25738447878149934)	(29, 0.25853429342150364)	(30, 0.25960416184931956)	(31, 0.2606128949384031)	(32, 0.26191084520687424)	(33, 0.26317352508761516)	(34, 0.26515336951887003)	(35, 0.26682283453809924)	(36, 0.26811373072902434)	(37, 0.2692141668262064)	(38, 0.2705309279681336)	(39, 0.2718335809549688)	(40, 0.27315504481526004)	(41, 0.27431426489199245)	(42, 0.27558870156864346)	(43, 0.2773639777510632)	(44, 0.2792497678150376)	(45, 0.2806699887609734)	(46, 0.2825416706698557)	(47, 0.28395248617906343)	(48, 0.2853421394556331)	(49, 0.28649665681400144)	(50, 0.2876064983479115)	(51, 0.2891254763794919)	(52, 0.2906773734396204)	(53, 0.2921704865201986)	(54, 0.29355308571922223)	(55, 0.29508617190589465)	(56, 0.29660750129665703)	(57, 0.2983404530138006)	(58, 0.30003343162484986)	(59, 0.30191922168882424)	(60, 0.3034899296224089)	(61, 0.3049477723152569)	(62, 0.30636093918364665)	(63, 0.307875214496863)	(64, 0.30945532786717567)	(65, 0.31120003638022925)
SRR5642568_1 - polya	(1, 0.0026012021060968964)	(2, 0.004314966517161756)	(3, 0.007625587379466897)	(4, 0.0127934506035307)	(5, 0.04826438841394292)	(6, 0.0765587716905781)	(7, 0.10400025826031124)	(8, 0.13303594428219775)	(9, 0.1598822630564603)	(10, 0.17775323891509945)	(11, 0.19459595612709968)	(12, 0.20856380032705002)	(13, 0.22198164571600745)	(14, 0.23171689037049062)	(15, 0.23871542596544387)	(16, 0.2460115454581324)	(17, 0.252040276386359)	(18, 0.257612003471635)	(19, 0.26471681903006516)	(20, 0.2709793658779409)	(21, 0.27671582690660607)	(22, 0.2825319979078789)	(23, 0.2885288448470625)	(24, 0.2941191709259469)	(25, 0.2999379989263067)	(26, 0.3049995821868936)	(27, 0.3097662385488321)	(28, 0.31493675877198285)	(29, 0.3204952008618242)	(30, 0.32546113215528194)	(31, 0.33076450233277876)	(32, 0.3356586946508896)	(33, 0.34093815183660414)	(34, 0.3460661600743641)	(35, 0.35093112540251875)	(36, 0.35553570482015506)	(37, 0.3605202351072212)	(38, 0.36531080446094205)	(39, 0.37011731580918444)	(40, 0.37474315121951607)	(41, 0.37936898662984775)	(42, 0.38378757611139946)	(43, 0.38815302561121273)	(44, 0.39223151920963845)	(45, 0.39701943156427233)	(46, 0.4013822240649987)	(47, 0.40568390558672585)	(48, 0.410121094061886)	(49, 0.41480538345212997)	(50, 0.41911237897203096)	(51, 0.42379932536136183)	(52, 0.42850487074430116)	(53, 0.43297925720667824)	(54, 0.4374589576672292)	(55, 0.442013054102214)	(56, 0.4465379235472426)	(57, 0.4508103780790136)	(58, 0.4552635085486953)	(59, 0.45961833005216085)	(60, 0.4641192865054072)	(61, 0.4684422240198297)	(62, 0.47287675549590297)	(63, 0.4776566968532761)	(64, 0.48223204928095625)	(65, 0.48223204928095625)
SRR5642568_1 - polyg	(1, 0.034405481176556396)	(2, 0.05065037359399911)	(3, 0.07024574186005081)	(4, 0.11968186687132645)	(5, 0.23191350830292287)	(6, 0.2468325581759914)	(7, 0.2584569291812763)	(8, 0.2806880405415549)	(9, 0.29727302884212364)	(10, 0.3063652797175716)	(11, 0.31970872913209525)	(12, 0.3353504827568066)	(13, 0.34856373921607103)	(14, 0.36385742596039555)	(15, 0.3751496720798152)	(16, 0.40208101482485925)	(17, 0.41663871282210635)	(18, 0.4247744440262623)	(19, 0.4364918099995895)	(20, 0.4481533789920913)	(21, 0.45636882016885494)	(22, 0.46527508110821836)	(23, 0.473729652202805)	(24, 0.48056079685528214)	(25, 0.4885025671260928)	(26, 0.4963513424288612)	(27, 0.5020745184620917)	(28, 0.5095406858963433)	(29, 0.5152851179222693)	(30, 0.5228655363172584)	(31, 0.528041370538583)	(32, 0.5337034355928144)	(33, 0.5387703328515752)	(34, 0.5439116260847697)	(35, 0.5481096846421069)	(36, 0.5524618491464856)	(37, 0.5562427588471759)	(38, 0.5608739082556814)	(39, 0.5660444284788322)	(40, 0.5709279928005953)	(41, 0.5769035837470834)	(42, 0.5820076789930612)	(43, 0.5866972823814789)	(44, 0.5905711870502116)	(45, 0.5948197285902003)	(46, 0.599100154119232)	(47, 0.603715361533216)	(48, 0.6080542410421601)	(49, 0.6120742806606735)	(50, 0.6166150921002236)	(51, 0.6204491417826524)	(52, 0.6244186984185143)	(53, 0.6286061289795037)	(54, 0.6319539478290258)	(55, 0.6355488675936316)	(56, 0.6397362981546212)	(57, 0.6434454688799646)	(58, 0.6469739636673973)	(59, 0.6506485934046109)	(60, 0.654163803196609)	(61, 0.6575753900242172)	(62, 0.6611091988098239)	(63, 0.664385278683999)	(64, 0.6673451756668304)	(65, 0.670435265604921)
