Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42
SRR5642565_1	(1, 0.007016138523770536)	(2, 0.001385784266435341)	(3, 0.0007486142278470635)	(4, 0.0008043363224764566)	(5, 0.0012234633820801522)	(6, 0.014463517605977248)	(7, 0.002597134149683016)	(8, 0.0007801093248115031)	(9, 0.0008261406203749147)	(10, 0.0008806513651210602)	(12, 0.0018691128698511634)	(14, 0.002191331938795045)	(16, 0.0021707389907798347)	(18, 0.003062292504850124)	(20, 0.0037733548863165094)	(22, 0.004469881069183923)	(24, 0.00532630543664003)	(26, 0.007242660951937852)	(28, 0.009700489865047386)	(30, 0.00938069349587)	(32, 0.007024916831235549)	(34, 0.002788799174573595)	(36, 0.0035666098924722845)	(38, 0.0024835815572141168)	(40, 0.002652030302444732)	(42, 0.0044379272459074024)	(44, 0.0045362070010830195)	(46, 0.0025274576590563575)	(48, 0.003375706896166915)	(50, 0.001524333278677059)	(52, 0.0047646726136130555)	(54, 0.0030902599864811426)	(56, 0.0025806775688354227)	(58, 0.004353792183908837)	(60, 0.005003007685509821)	(62, 0.005430552857930916)	(64, 0.0035365367176194776)	(66, 0.003908070536816062)	(68, 0.002879820621383772)	(70, 0.0025854907500458923)	(72, 0.001767068683925971)	(74, 0.002570810134793536)	(76, 0.0037323320875750667)
SRR5642565_2	(1, 0.04494834876778825)	(2, 0.010817354457401743)	(3, 0.007837433744612462)	(4, 0.009329816800773596)	(5, 0.01141818399949259)	(6, 0.01286695845985681)	(7, 0.015481051507905293)	(8, 0.016648792795356054)	(9, 0.01946396992402365)	(10, 0.020893362786255906)	(12, 0.023631013522395654)	(14, 0.02526512451489677)	(16, 0.028063342745198897)	(18, 0.029682917539101038)	(20, 0.02895853030891893)	(22, 0.03276701434184962)	(24, 0.03385117248735629)	(26, 0.03799156638829685)	(28, 0.039408845751696626)	(30, 0.04287088371801848)	(32, 0.033304606076327306)	(34, 0.022536001717097937)	(36, 0.02693579668510258)	(38, 0.02513698085473465)	(40, 0.025053957126338625)	(42, 0.024373695980001428)	(44, 0.023732276557738283)	(46, 0.02453039971258122)	(48, 0.023164241159151958)	(50, 0.01962397349821947)	(52, 0.020773799237500615)	(54, 0.022377822880604553)	(56, 0.02075143797390704)	(58, 0.018550501095744316)	(60, 0.01980317614857876)	(62, 0.021225173436557776)	(64, 0.02005384089945916)	(66, 0.01963384981009916)	(68, 0.020647995942616626)	(70, 0.018637959201836165)	(72, 0.017776085906979593)	(74, 0.02129616922756503)	(76, 0.028611490326598498)
SRR5642566_1	(1, 0.015718836131756436)	(2, 0.00919616576085257)	(3, 0.008608325965349337)	(4, 0.008645947712261542)	(5, 0.009062138287477832)	(6, 0.022323804074030756)	(7, 0.010428277972227345)	(8, 0.008613028683713362)	(9, 0.0086741640224457)	(10, 0.00926200381794893)	(12, 0.016002174913188994)	(14, 0.01919649636195356)	(16, 0.022989238722540415)	(18, 0.028726555126651968)	(20, 0.03434983061043589)	(22, 0.04371176719362037)	(24, 0.051092683665958954)	(26, 0.05914138614598922)	(28, 0.06812828093964264)	(30, 0.07453573471062787)	(32, 0.042637705787268464)	(34, 0.0026101378743550235)	(36, 0.0034672265762893534)	(38, 0.002285860080338683)	(40, 0.0026263888414238333)	(42, 0.004263452845063545)	(44, 0.00444210327230623)	(46, 0.002610146012109735)	(48, 0.0033646200191239065)	(50, 0.00164728296934939)	(52, 0.004911214042446797)	(54, 0.003194046608391174)	(56, 0.002563479095288271)	(58, 0.004582112140597298)	(60, 0.005074573540828477)	(62, 0.005563024091110346)	(64, 0.0036673822654689227)	(66, 0.004024569559450055)	(68, 0.0029359626431000735)	(70, 0.0026210164057751057)	(72, 0.0018139511386228353)	(74, 0.0026855618342642366)	(76, 0.004121933220391342)
SRR5642566_2	(1, 0.05149241472690115)	(2, 0.017987897742398916)	(3, 0.01520153711171359)	(4, 0.016913326596219004)	(5, 0.019095387917127005)	(6, 0.02084950186690865)	(7, 0.02362410570168391)	(8, 0.024943218202793164)	(9, 0.027875363102763284)	(10, 0.0297329368565535)	(12, 0.03810612690370154)	(14, 0.042198667559995046)	(16, 0.048770716473721186)	(18, 0.05492892617141305)	(20, 0.05898384508079434)	(22, 0.07101222297638149)	(24, 0.07844134231195135)	(26, 0.08834056446822577)	(28, 0.09601304947913396)	(30, 0.1061497589127917)	(32, 0.06839278967374031)	(34, 0.0239624785787022)	(36, 0.028848407585556363)	(38, 0.026836475155766447)	(40, 0.02662934531956439)	(42, 0.025999023364585188)	(44, 0.02540555136500311)	(46, 0.026153247120633858)	(48, 0.024745429217386802)	(50, 0.021068861275299822)	(52, 0.02213579480951501)	(54, 0.023956502311517136)	(56, 0.022007445116558434)	(58, 0.019894988107425612)	(60, 0.02112759746324639)	(62, 0.02255410125572291)	(64, 0.021410128981685487)	(66, 0.021247580851464325)	(68, 0.022231024049167453)	(70, 0.019977756763488317)	(72, 0.019182014456566067)	(74, 0.023169149236233786)	(76, 0.031079994774005106)
SRR5642568_1	(1, 0.008327035138414374)	(2, 0.002255792224797002)	(3, 0.0017084504128910157)	(4, 0.001742991401021005)	(5, 0.0021787392512762566)	(6, 0.015846342554404383)	(7, 0.003594919764605823)	(8, 0.0017297064055863936)	(9, 0.0017775323891509945)	(10, 0.0019608653261486307)	(12, 0.003585620267801595)	(14, 0.004349507505291746)	(16, 0.005070882757391141)	(18, 0.0068298161529336794)	(20, 0.008428001103717421)	(22, 0.01064526684175405)	(24, 0.01272304012772726)	(26, 0.015785231575405168)	(28, 0.019562155777465166)	(30, 0.020793674854253638)	(32, 0.01346720464623875)	(34, 0.0027520396952823646)	(36, 0.0036624355967477674)	(38, 0.0024691877135239377)	(40, 0.002703214696408124)	(42, 0.004393993296860885)	(44, 0.004579086391316788)	(46, 0.0025761739955892393)	(48, 0.0033952986865126173)	(50, 0.0016512607495479375)	(52, 0.004720310813984757)	(54, 0.0031638330501022284)	(56, 0.0025944138119566476)	(58, 0.00443614559720003)	(60, 0.005116151959325114)	(62, 0.005527648542970569)	(64, 0.0035413494568483574)	(66, 0.00410016170195874)	(68, 0.0028672285581933347)	(70, 0.0025801385915580504)	(72, 0.0017338124327997177)	(74, 0.002580919821204989)	(76, 0.0038920352863482982)
SRR5642568_2	(1, 0.04509990250141851)	(2, 0.01146760805915649)	(3, 0.008281866153936697)	(4, 0.010024857554957701)	(5, 0.011959152890237109)	(6, 0.013486927365217411)	(7, 0.016053588483184316)	(8, 0.017246581073212412)	(9, 0.02020913505513074)	(10, 0.021807320005914482)	(12, 0.025192336842653443)	(14, 0.027102719186150554)	(16, 0.030584716489562177)	(18, 0.03301454215455259)	(20, 0.03306635363674758)	(22, 0.0382674293493979)	(24, 0.0404926660846953)	(26, 0.045572848338890665)	(28, 0.04842779385778864)	(30, 0.053376454657181355)	(32, 0.039104192702910504)	(34, 0.022854471834843702)	(36, 0.02749762313017658)	(38, 0.025665932666978683)	(40, 0.025462534373490997)	(42, 0.024749015947809153)	(44, 0.02413535290954697)	(46, 0.02479916254501678)	(48, 0.023354578164081)	(50, 0.02000715002648717)	(52, 0.020925565863285044)	(54, 0.02263964840580805)	(56, 0.020785238667058517)	(58, 0.018698362114261756)	(60, 0.020006572637106736)	(62, 0.021244165745566732)	(64, 0.02016851264525515)	(66, 0.01997790825718191)	(68, 0.020778963400373884)	(70, 0.01877559826425819)	(72, 0.01805162829886553)	(74, 0.02150825430869542)	(76, 0.029203096698681822)
SRR5642569_1	(1, 0.007082549582710061)	(2, 0.0012879224306229051)	(3, 0.0007105072868460223)	(4, 0.0007637441440736781)	(5, 0.0011445924303946009)	(6, 0.014601231880400533)	(7, 0.002461180861063167)	(8, 0.0007248402868688527)	(9, 0.0007698868583691769)	(10, 0.0008446232156310784)	(12, 0.0017025556455690706)	(14, 0.0020813563604581606)	(16, 0.002080332574742244)	(18, 0.0030130013619421377)	(20, 0.0037880071488908974)	(22, 0.004694057507476963)	(24, 0.005591917580335697)	(26, 0.0075534910120316325)	(28, 0.010094527158936282)	(30, 0.009853937515695915)	(32, 0.007231325220359099)	(34, 0.002693854301615354)	(36, 0.00356113476224736)	(38, 0.0023724165425687348)	(40, 0.0025598396303476894)	(42, 0.004202325637046302)	(44, 0.004487109048720287)	(46, 0.002553888925144645)	(48, 0.0033916334158757095)	(50, 0.0016067790880190207)	(52, 0.0048768726878764)	(54, 0.0031022779774212746)	(56, 0.0025362743052365156)	(58, 0.004418557029792077)	(60, 0.00504905663632769)	(62, 0.00548195245956558)	(64, 0.0034574359153134787)	(66, 0.004010155973648449)	(68, 0.0029579485792309845)	(70, 0.002561717793848636)	(72, 0.001711055084717599)	(74, 0.002574969719569146)	(76, 0.0040574668252484755)
SRR5642569_2	(1, 0.04206735506700728)	(2, 0.010432376445188714)	(3, 0.0076087754406911215)	(4, 0.009365591729203765)	(5, 0.011343545732354361)	(6, 0.01291403302057021)	(7, 0.015563590453362005)	(8, 0.01692932059839456)	(9, 0.019865538031642965)	(10, 0.021298838033926005)	(12, 0.02405896432403678)	(14, 0.025616142397945716)	(16, 0.02869568983142242)	(18, 0.030316342619718172)	(20, 0.029451243689768765)	(22, 0.03359245691065084)	(24, 0.034718621198158946)	(26, 0.039155708490940876)	(28, 0.04057467549320109)	(30, 0.04456436842812753)	(32, 0.034429436375607726)	(34, 0.02355027490629734)	(36, 0.028171057240116853)	(38, 0.026189982965912195)	(40, 0.026034923274549617)	(42, 0.025381256239255863)	(44, 0.02453097428513199)	(46, 0.025393014352460674)	(48, 0.023897445229652883)	(50, 0.020450726138024223)	(52, 0.021492289898347193)	(54, 0.023151146481629584)	(56, 0.021325925265315217)	(58, 0.01914742903524459)	(60, 0.02040359585324659)	(62, 0.021999410465812153)	(64, 0.02075778086500757)	(66, 0.02049241766708401)	(68, 0.021519732267958964)	(70, 0.019398419336410015)	(72, 0.018447268415869904)	(74, 0.022201580841571693)	(76, 0.02998199945425386)
SRR5642571_1	(1, 0.006791143414083931)	(2, 0.001600555826667358)	(3, 0.0010096964327107165)	(4, 0.0010583114461375288)	(5, 0.001579987936371399)	(6, 0.014792052739211997)	(7, 0.0029337290794872488)	(8, 0.0010246548983805048)	(9, 0.0010508322133026345)	(10, 0.0011948074453743478)	(12, 0.0022755565900165592)	(14, 0.002727115272423296)	(16, 0.0029823440929140606)	(18, 0.004090205456582763)	(20, 0.0050999018892934804)	(22, 0.006331170594737937)	(24, 0.007621338258757186)	(26, 0.009776292219311077)	(28, 0.012718435435737582)	(30, 0.012927853955114617)	(32, 0.008994361563760824)	(34, 0.002921075048748245)	(36, 0.003939419489276004)	(38, 0.00266779896794799)	(40, 0.0028548987205275307)	(42, 0.004637412334764949)	(44, 0.0047021707429084686)	(46, 0.0022997540591196907)	(48, 0.00306399828206592)	(50, 0.0014161017560213624)	(52, 0.004355259733809069)	(54, 0.002798162740003615)	(56, 0.0022797621545481836)	(58, 0.003946856624057872)	(60, 0.004369837257784892)	(62, 0.004847428408324218)	(64, 0.0030533607859815222)	(66, 0.003496874035356197)	(68, 0.002476208582319713)	(70, 0.002303404690774011)	(72, 0.0015144859879239027)	(74, 0.002376602906784917)	(76, 0.0036279488060569367)
SRR5642571_2	(1, 0.04501750243322817)	(2, 0.010560676762870605)	(3, 0.007398831081919083)	(4, 0.008791838197418128)	(5, 0.010755136816577854)	(6, 0.012088310069397744)	(7, 0.014713520794445607)	(8, 0.01585223399355825)	(9, 0.01855971627978995)	(10, 0.01995459320349772)	(12, 0.022777068694565913)	(14, 0.024004597783592922)	(16, 0.02698600697240262)	(18, 0.028519249703555932)	(20, 0.02821447096553399)	(22, 0.03228784814823825)	(24, 0.03375845230439931)	(26, 0.037994502801262514)	(28, 0.039705377312244564)	(30, 0.043598318002806995)	(32, 0.032919926822166753)	(34, 0.021078028176460952)	(36, 0.025210013543064663)	(38, 0.023399196102339766)	(40, 0.023327931423363313)	(42, 0.02268175354308874)	(44, 0.02202347172519945)	(46, 0.022740031215350846)	(48, 0.02148396684610849)	(50, 0.01836543374111556)	(52, 0.01935656825024369)	(54, 0.02094679710018035)	(56, 0.019339840266565763)	(58, 0.017467266243813263)	(60, 0.018769480429635027)	(62, 0.0201355680014062)	(64, 0.01912041232118583)	(66, 0.01845895374964948)	(68, 0.019482416722999597)	(70, 0.01735424651879635)	(72, 0.016590972314477873)	(74, 0.019963391469935143)	(76, 0.026905453655682428)
