Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42
SRR5642565_1	(1, 28.910240548406197)	(2, 24.9101564564973)	(3, 25.177216030151566)	(4, 27.864474829191188)	(5, 27.833406684606597)	(6, 30.446820189597577)	(7, 30.743800250730043)	(8, 31.165598191464316)	(9, 31.26635386543928)	(10, 31.998686097235634)	(12, 32.2900604066269)	(14, 32.12292171728906)	(16, 32.068321647602524)	(18, 32.059240448251785)	(20, 32.00875493437319)	(22, 31.940192155462903)	(24, 31.989145299625697)	(26, 31.678609760873233)	(28, 31.64518590417069)	(30, 31.583359696344626)	(32, 31.438934816424336)	(34, 31.392132554107043)	(36, 31.39081868446032)	(38, 31.295247758523907)	(40, 31.256700496899413)	(42, 31.143692630825498)	(44, 31.11985717177639)	(46, 31.044090594058844)	(48, 30.992462418470534)	(50, 30.976657611909776)	(52, 30.907543761888313)	(54, 30.82178322127418)	(56, 30.742079258388955)	(58, 30.69665093155912)	(60, 30.63836221791126)	(62, 30.45295517415539)	(64, 30.491581874518292)	(66, 30.400822804917333)	(68, 30.259459145566403)	(70, 30.239134501410536)	(72, 30.211301765841846)	(74, 30.167656887122554)	(76, 31.17181419088703)
SRR5642565_2	(1, 28.564243190021113)	(2, 29.06704797376778)	(3, 28.669760462344147)	(4, 28.265493274028227)	(5, 28.07469776941548)	(6, 32.17216690579521)	(7, 32.077599582287796)	(8, 32.023892980048146)	(9, 31.887519622051084)	(10, 31.816436908319176)	(12, 31.76867899097268)	(14, 31.74078555216211)	(16, 31.719856236511315)	(18, 31.598744530331302)	(20, 31.54831994735183)	(22, 31.537134814956374)	(24, 31.47698564836267)	(26, 31.421236916149343)	(28, 31.29794430775303)	(30, 31.271509624925862)	(32, 31.226812663016002)	(34, 31.279142686490758)	(36, 31.119350122307573)	(38, 31.087341170517526)	(40, 31.045991195321438)	(42, 30.99648233307133)	(44, 30.97416315749613)	(46, 30.90390134146721)	(48, 30.734996785026063)	(50, 30.616659268081413)	(52, 30.60985794296284)	(54, 30.534654773714173)	(56, 30.42410189927804)	(58, 30.45221378814312)	(60, 30.39359266972845)	(62, 30.3526918479903)	(64, 30.198518237539112)	(66, 30.082646685839798)	(68, 30.08672548703592)	(70, 29.96094947091551)	(72, 29.887541368262262)	(74, 29.995979518851666)	(76, 30.87935257397098)
SRR5642566_1	(1, 28.91184721507605)	(2, 25.10972481244031)	(3, 25.40420623827818)	(4, 28.047568960309388)	(5, 28.034895675130947)	(6, 30.787496760414886)	(7, 31.070800835785917)	(8, 31.468088599402087)	(9, 31.54453185073553)	(10, 32.24831703817907)	(12, 32.49619956869489)	(14, 32.31812511836154)	(16, 32.28012088760799)	(18, 32.243493330628326)	(20, 32.19999723009889)	(22, 32.13381017251593)	(24, 32.17823397829705)	(26, 31.891915284102737)	(28, 31.861020822837453)	(30, 31.804856727687728)	(32, 31.670053203739737)	(34, 31.629407851370615)	(36, 31.62914549396521)	(38, 31.543530943884313)	(40, 31.50849358612615)	(42, 31.411820276548486)	(44, 31.35299134075227)	(46, 31.289540738826304)	(48, 31.236694962358108)	(50, 31.2191814313394)	(52, 31.145694699265167)	(54, 31.05655817430422)	(56, 30.99075073632369)	(58, 30.93897257394812)	(60, 30.88902945127868)	(62, 30.720460668941442)	(64, 30.731562298219636)	(66, 30.649844623359826)	(68, 30.512150959722128)	(70, 30.487297794178616)	(72, 30.463113062960293)	(74, 30.435711650410155)	(76, 31.39517054230544)
SRR5642566_2	(1, 28.64129914569948)	(2, 29.18802342724991)	(3, 28.804412791074164)	(4, 28.435809211092188)	(5, 28.261264903325984)	(6, 32.42890096484262)	(7, 32.29126890486904)	(8, 32.25198947324711)	(9, 32.10100663097398)	(10, 32.03125768747493)	(12, 31.969227280356364)	(14, 31.940719448660822)	(16, 31.908457284056933)	(18, 31.787004080125477)	(20, 31.739400507808934)	(22, 31.733026466851925)	(24, 31.670514677724825)	(26, 31.608071230852353)	(28, 31.480772595021598)	(30, 31.447838658856206)	(32, 31.4128876693387)	(34, 31.478896602546943)	(36, 31.314454752243897)	(38, 31.287461635895667)	(40, 31.244305928290437)	(42, 31.19321660468958)	(44, 31.16858702051542)	(46, 31.09934133710661)	(48, 30.94152880076982)	(50, 30.82940938096043)	(52, 30.821091290384267)	(54, 30.75256116693314)	(56, 30.64333425631238)	(58, 30.657223899521917)	(60, 30.599713206509108)	(62, 30.56909586534518)	(64, 30.415318807146193)	(66, 30.290328070488066)	(68, 30.30194041837639)	(70, 30.171316674323172)	(72, 30.094115400362124)	(74, 30.1937738238921)	(76, 31.053893273108574)
SRR5642568_1	(1, 28.905873575466547)	(2, 24.92904114615501)	(3, 25.205460691093432)	(4, 27.838133064905573)	(5, 27.880071218203526)	(6, 30.49278644675394)	(7, 30.79233237889498)	(8, 31.207587857992433)	(9, 31.298051928124455)	(10, 32.033629345173274)	(12, 32.31729709062586)	(14, 32.14730602212829)	(16, 32.10856065178314)	(18, 32.07304502324808)	(20, 32.02920910835229)	(22, 31.96480529709966)	(24, 32.01220585525546)	(26, 31.703860858803218)	(28, 31.671895964137953)	(30, 31.624824754303972)	(32, 31.481337426077012)	(34, 31.42663406691419)	(36, 31.43043130634299)	(38, 31.339352487596685)	(40, 31.308021630110343)	(42, 31.211046892259496)	(44, 31.149360864590655)	(46, 31.089278498891503)	(48, 31.032956505778035)	(50, 31.025627393648158)	(52, 30.955726720431628)	(54, 30.858908735544006)	(56, 30.79863585229412)	(58, 30.75053338486844)	(60, 30.701515193690774)	(62, 30.53083265239222)	(64, 30.54120285807538)	(66, 30.457079134154874)	(68, 30.3229262972294)	(70, 30.294629797578505)	(72, 30.278220062120802)	(74, 30.25154159264749)	(76, 31.22826372724513)
SRR5642568_2	(1, 28.528752170934318)	(2, 29.08349646200644)	(3, 28.704311445993373)	(4, 28.314221494617783)	(5, 28.13208229416992)	(6, 32.236375699139494)	(7, 32.11481352715433)	(8, 32.08779341406979)	(9, 31.935359569693684)	(10, 31.86800013922675)	(12, 31.815153755887412)	(14, 31.799166924506288)	(16, 31.76651587311182)	(18, 31.651657668517842)	(20, 31.609933416931383)	(22, 31.60738612533676)	(24, 31.54631450977902)	(26, 31.490234784395817)	(28, 31.357783087642844)	(30, 31.327223200809748)	(32, 31.286388220638337)	(34, 31.34399718585206)	(36, 31.18973143786433)	(38, 31.15987567746834)	(40, 31.120821433542304)	(42, 31.070268753651575)	(44, 31.049387507923402)	(46, 30.975755854776686)	(48, 30.820735219291024)	(50, 30.70351667290602)	(52, 30.687981664700075)	(54, 30.618788121205526)	(56, 30.515404852542733)	(58, 30.535697676557373)	(60, 30.473787196994227)	(62, 30.450561259319365)	(64, 30.298307623333272)	(66, 30.171666165689658)	(68, 30.188925983868497)	(70, 30.048770648294912)	(72, 29.977622958682545)	(74, 30.078752311226523)	(76, 30.95818203923007)
SRR5642569_1	(1, 28.909394349869963)	(2, 25.026400833197766)	(3, 25.307655245074336)	(4, 27.967567553732625)	(5, 27.929176039851473)	(6, 30.616934541905547)	(7, 30.89758162361972)	(8, 31.306888204340257)	(9, 31.38353920469664)	(10, 32.12262251106175)	(12, 32.38268900184885)	(14, 32.207814883981015)	(16, 32.178584286588745)	(18, 32.147506001687816)	(20, 32.088564467121074)	(22, 32.025246002910215)	(24, 32.07312240003219)	(26, 31.773793982986113)	(28, 31.746660928006467)	(30, 31.689963756961873)	(32, 31.550894356011433)	(34, 31.493829997820363)	(36, 31.490440081805602)	(38, 31.404903895238732)	(40, 31.373926088309652)	(42, 31.281487646119103)	(44, 31.20440320547253)	(46, 31.13957035694404)	(48, 31.091044045913684)	(50, 31.07144261188587)	(52, 31.003634873529787)	(54, 30.909865813834408)	(56, 30.847680532989052)	(58, 30.795636376322392)	(60, 30.743124768081756)	(62, 30.592711859297868)	(64, 30.58749991679872)	(66, 30.504382547756137)	(68, 30.37171609842324)	(70, 30.341118055630663)	(72, 30.310212939126444)	(74, 30.295920794179352)	(76, 31.282948920593125)
SRR5642569_2	(1, 28.613808944590566)	(2, 29.11763875291024)	(3, 28.73084994997271)	(4, 28.350921227981825)	(5, 28.189228668579986)	(6, 32.32379926060148)	(7, 32.18796498939511)	(8, 32.1331680260664)	(9, 31.988590768176113)	(10, 31.926106668848014)	(12, 31.859360355065267)	(14, 31.833109557664166)	(16, 31.802064433182572)	(18, 31.687010452545024)	(20, 31.641537310488303)	(22, 31.642334696231003)	(24, 31.58065209826418)	(26, 31.519609438034806)	(28, 31.394440833324715)	(30, 31.360200760283746)	(32, 31.312516341489445)	(34, 31.371923837133764)	(36, 31.210308390735115)	(38, 31.176059076694273)	(40, 31.129092828641234)	(42, 31.08953790580558)	(44, 31.06561836466682)	(46, 30.989137794593148)	(48, 30.830807584522255)	(50, 30.723509335228478)	(52, 30.703564009257292)	(54, 30.640760055373555)	(56, 30.529075924403024)	(58, 30.541395705842596)	(60, 30.48792176727413)	(62, 30.46256859989947)	(64, 30.310048509772194)	(66, 30.18077942705788)	(68, 30.189001402996233)	(70, 30.057480207523877)	(72, 29.98308754048154)	(74, 30.082751027281514)	(76, 30.969278992952766)
SRR5642571_1	(1, 28.906505214212615)	(2, 24.647716260194358)	(3, 24.912916412598687)	(4, 27.604248772671916)	(5, 27.546755218041046)	(6, 29.99265481371559)	(7, 30.29791326973156)	(8, 30.734348756365318)	(9, 30.83351008941965)	(10, 31.63598905683527)	(12, 31.96063193608861)	(14, 31.790408289637632)	(16, 31.762347283180826)	(18, 31.729131505312843)	(20, 31.684843695533072)	(22, 31.611406155419843)	(24, 31.671350392877557)	(26, 31.31426838864285)	(28, 31.27617822645363)	(30, 31.229849390127463)	(32, 31.084259865112315)	(34, 31.027771424133242)	(36, 31.03612071857328)	(38, 30.93745244156414)	(40, 30.904836825570005)	(42, 30.799021568739732)	(44, 30.735928055817702)	(46, 30.675688936733177)	(48, 30.61770548581919)	(50, 30.61475690904517)	(52, 30.53015473239484)	(54, 30.437727675906984)	(56, 30.377765703999053)	(58, 30.329583529387943)	(60, 30.274920495083578)	(62, 30.101176597603807)	(64, 30.113614867997516)	(66, 30.028304919022638)	(68, 29.887056981703537)	(70, 29.860186172347305)	(72, 29.83410040844333)	(74, 29.80567985585376)	(76, 30.879152599882612)
SRR5642571_2	(1, 28.332257121589944)	(2, 28.83742466379119)	(3, 28.420522465175335)	(4, 28.02493755728742)	(5, 27.83321748313307)	(6, 31.82570723017999)	(7, 31.711136228037024)	(8, 31.654488649432107)	(9, 31.514668131200178)	(10, 31.436718061399304)	(12, 31.369119698595892)	(14, 31.350588768013473)	(16, 31.324656828022576)	(18, 31.185202025578192)	(20, 31.140048475899697)	(22, 31.1500674692245)	(24, 31.090769587068376)	(26, 31.03652238410045)	(28, 30.903592866389992)	(30, 30.87403762140127)	(32, 30.833884389419772)	(34, 30.882813499682676)	(36, 30.721558540335323)	(38, 30.69723895452961)	(40, 30.649803082927352)	(42, 30.60408839167487)	(44, 30.582932987065483)	(46, 30.51450389465028)	(48, 30.35953335168722)	(50, 30.241519365816803)	(52, 30.225011304527847)	(54, 30.160537627388607)	(56, 30.055570326466288)	(58, 30.074445338160288)	(60, 30.01330994816187)	(62, 29.989247260735276)	(64, 29.824098853547966)	(66, 29.701597955458084)	(68, 29.713556643543214)	(70, 29.56968952111161)	(72, 29.497847082611525)	(74, 29.60650360880797)	(76, 30.55374652277833)
