Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRR5642565_1	(0.0, 1256.0)	(1.0, 1516.0)	(2.0, 1728.5)	(3.0, 1737.5)	(4.0, 1794.0)	(5.0, 1979.5)	(6.0, 2645.0)	(7.0, 3877.5)	(8.0, 4659.5)	(9.0, 5860.5)	(10.0, 8736.0)	(11.0, 12803.5)	(12.0, 15268.0)	(13.0, 18597.5)	(14.0, 26349.0)	(15.0, 37015.5)	(16.0, 48155.5)	(17.0, 57990.5)	(18.0, 76136.5)	(19.0, 107999.0)	(20.0, 142955.0)	(21.0, 174981.5)	(22.0, 233433.5)	(23.0, 333782.5)	(24.0, 436252.0)	(25.0, 519885.0)	(26.0, 596568.5)	(27.0, 671877.5)	(28.0, 733477.0)	(29.0, 743859.0)	(30.0, 779202.0)	(31.0, 876414.5)	(32.0, 972106.0)	(33.0, 1049689.0)	(34.0, 1147495.5)	(35.0, 1273921.5)	(36.0, 1368394.0)	(37.0, 1421136.5)	(38.0, 1436920.0)	(39.0, 1472489.5)	(40.0, 1535215.0)	(41.0, 1600071.5)	(42.0, 1642230.5)	(43.0, 1672802.0)	(44.0, 1711322.5)	(45.0, 1734324.0)	(46.0, 1741458.0)	(47.0, 1730836.5)	(48.0, 1716086.5)	(49.0, 1684473.5)	(50.0, 1649766.5)	(51.0, 1601683.0)	(52.0, 1540514.5)	(53.0, 1469649.0)	(54.0, 1404872.5)	(55.0, 1335603.5)	(56.0, 1237452.5)	(57.0, 1121719.5)	(58.0, 1033764.0)	(59.0, 946540.5)	(60.0, 834335.0)	(61.0, 727965.5)	(62.0, 651596.5)	(63.0, 588198.0)	(64.0, 510449.5)	(65.0, 495035.0)	(66.0, 437556.5)	(67.0, 356914.0)	(68.0, 303106.0)	(69.0, 237638.5)	(70.0, 205801.5)	(71.0, 188226.5)	(72.0, 177847.0)	(73.0, 175752.0)	(74.0, 176493.5)	(75.0, 158729.5)	(76.0, 134177.5)	(77.0, 122878.0)	(78.0, 113984.5)	(79.0, 108748.5)	(80.0, 110712.0)	(81.0, 117634.5)	(82.0, 116633.0)	(83.0, 111379.0)	(84.0, 101387.0)	(85.0, 80831.5)	(86.0, 64855.0)	(87.0, 58912.5)	(88.0, 55623.0)	(89.0, 50442.5)	(90.0, 41221.0)	(91.0, 30989.5)	(92.0, 28016.5)	(93.0, 26777.0)	(94.0, 24831.5)	(95.0, 23855.5)	(96.0, 23619.5)	(97.0, 19520.0)	(98.0, 12841.5)	(99.0, 9907.0)	(100.0, 9555.0)
SRR5642565_2	(0.0, 3369.0)	(1.0, 3375.0)	(2.0, 2778.0)	(3.0, 2504.0)	(4.0, 2846.5)	(5.0, 3411.5)	(6.0, 4769.0)	(7.0, 6691.5)	(8.0, 7887.0)	(9.0, 9596.5)	(10.0, 13587.5)	(11.0, 19213.5)	(12.0, 22553.5)	(13.0, 26838.0)	(14.0, 36795.5)	(15.0, 49228.0)	(16.0, 61421.0)	(17.0, 71749.0)	(18.0, 92009.0)	(19.0, 161760.5)	(20.0, 192793.5)	(21.0, 180224.5)	(22.0, 209719.0)	(23.0, 266025.5)	(24.0, 327296.5)	(25.0, 388049.5)	(26.0, 461315.5)	(27.0, 582191.0)	(28.0, 696635.5)	(29.0, 751764.0)	(30.0, 905586.5)	(31.0, 1268286.0)	(32.0, 1408917.5)	(33.0, 1302682.5)	(34.0, 1317225.0)	(35.0, 1427192.0)	(36.0, 1580134.5)	(37.0, 1596798.5)	(38.0, 1595161.0)	(39.0, 1675224.0)	(40.0, 1742783.5)	(41.0, 1810674.0)	(42.0, 1845906.5)	(43.0, 1850064.0)	(44.0, 1859986.0)	(45.0, 1932926.0)	(46.0, 1932384.0)	(47.0, 1849434.0)	(48.0, 1806474.5)	(49.0, 1729764.5)	(50.0, 1651261.0)	(51.0, 1579116.0)	(52.0, 1489308.0)	(53.0, 1376739.0)	(54.0, 1283701.5)	(55.0, 1205722.5)	(56.0, 1099565.0)	(57.0, 986314.0)	(58.0, 901868.0)	(59.0, 803072.5)	(60.0, 670514.5)	(61.0, 553300.5)	(62.0, 481097.0)	(63.0, 424368.0)	(64.0, 345321.5)	(65.0, 286893.5)	(66.0, 248383.0)	(67.0, 245619.0)	(68.0, 261760.5)	(69.0, 221915.5)	(70.0, 153574.5)	(71.0, 126715.5)	(72.0, 102391.5)	(73.0, 75519.5)	(74.0, 69215.0)	(75.0, 71743.5)	(76.0, 65329.0)	(77.0, 54155.0)	(78.0, 48519.5)	(79.0, 47662.0)	(80.0, 48105.5)	(81.0, 47562.5)	(82.0, 49953.0)	(83.0, 53421.0)	(84.0, 56395.5)	(85.0, 55771.5)	(86.0, 49840.0)	(87.0, 46632.0)	(88.0, 43691.5)	(89.0, 32349.5)	(90.0, 18162.0)	(91.0, 10607.0)	(92.0, 8469.0)	(93.0, 7598.0)	(94.0, 5929.0)	(95.0, 4228.5)	(96.0, 3372.5)	(97.0, 3081.0)	(98.0, 2878.5)	(99.0, 6419.0)	(100.0, 9874.0)
SRR5642566_1	(0.0, 4034.0)	(1.0, 4201.5)	(2.0, 2661.0)	(3.0, 1127.5)	(4.0, 1302.5)	(5.0, 1496.0)	(6.0, 2300.0)	(7.0, 3529.0)	(8.0, 4203.0)	(9.0, 5409.0)	(10.0, 8191.5)	(11.0, 12104.0)	(12.0, 14466.0)	(13.0, 17659.0)	(14.0, 25270.5)	(15.0, 35517.0)	(16.0, 46356.0)	(17.0, 56592.5)	(18.0, 75351.0)	(19.0, 107563.0)	(20.0, 143515.5)	(21.0, 177532.0)	(22.0, 239904.0)	(23.0, 348791.5)	(24.0, 462041.5)	(25.0, 556118.0)	(26.0, 641158.0)	(27.0, 728324.5)	(28.0, 799024.5)	(29.0, 801004.5)	(30.0, 830037.5)	(31.0, 932365.0)	(32.0, 1032858.0)	(33.0, 1116646.5)	(34.0, 1223773.5)	(35.0, 1358040.5)	(36.0, 1457019.5)	(37.0, 1511521.0)	(38.0, 1518561.5)	(39.0, 1542546.0)	(40.0, 1602104.0)	(41.0, 1662654.5)	(42.0, 1700098.5)	(43.0, 1731306.0)	(44.0, 1771110.5)	(45.0, 1795286.5)	(46.0, 1806367.0)	(47.0, 1803219.0)	(48.0, 1786499.0)	(49.0, 1746018.5)	(50.0, 1707539.5)	(51.0, 1654759.0)	(52.0, 1587047.0)	(53.0, 1508347.5)	(54.0, 1437327.5)	(55.0, 1362429.0)	(56.0, 1260751.0)	(57.0, 1143523.5)	(58.0, 1052311.5)	(59.0, 962906.5)	(60.0, 848737.5)	(61.0, 738282.0)	(62.0, 658457.5)	(63.0, 590386.0)	(64.0, 502602.0)	(65.0, 451720.0)	(66.0, 387339.5)	(67.0, 329952.5)	(68.0, 288794.5)	(69.0, 235704.0)	(70.0, 204948.0)	(71.0, 184936.0)	(72.0, 165940.0)	(73.0, 156448.5)	(74.0, 154927.0)	(75.0, 145310.5)	(76.0, 129987.5)	(77.0, 121097.0)	(78.0, 116066.0)	(79.0, 113648.5)	(80.0, 117748.0)	(81.0, 128690.0)	(82.0, 130014.5)	(83.0, 124319.5)	(84.0, 112509.5)	(85.0, 88386.5)	(86.0, 69270.5)	(87.0, 62133.5)	(88.0, 58397.0)	(89.0, 52549.0)	(90.0, 41700.0)	(91.0, 29796.0)	(92.0, 26391.5)	(93.0, 24900.5)	(94.0, 22827.5)	(95.0, 21829.0)	(96.0, 21589.0)	(97.0, 18062.5)	(98.0, 12666.0)	(99.0, 10909.5)	(100.0, 11037.0)
SRR5642566_2	(0.0, 6415.0)	(1.0, 6431.5)	(2.0, 4235.5)	(3.0, 2402.0)	(4.0, 2796.0)	(5.0, 3409.5)	(6.0, 4635.0)	(7.0, 6361.0)	(8.0, 7539.5)	(9.0, 9127.0)	(10.0, 12820.5)	(11.0, 18149.5)	(12.0, 21387.5)	(13.0, 25534.0)	(14.0, 35089.5)	(15.0, 47358.5)	(16.0, 59639.5)	(17.0, 69915.0)	(18.0, 90955.0)	(19.0, 170463.5)	(20.0, 203730.5)	(21.0, 185243.5)	(22.0, 214504.0)	(23.0, 272787.5)	(24.0, 337716.0)	(25.0, 405284.0)	(26.0, 485639.5)	(27.0, 618646.0)	(28.0, 742698.5)	(29.0, 798675.5)	(30.0, 968480.5)	(31.0, 1389676.0)	(32.0, 1549296.0)	(33.0, 1406220.0)	(34.0, 1402898.5)	(35.0, 1513310.5)	(36.0, 1673411.0)	(37.0, 1680659.5)	(38.0, 1671754.0)	(39.0, 1743198.5)	(40.0, 1798834.0)	(41.0, 1863223.5)	(42.0, 1896704.0)	(43.0, 1890678.0)	(44.0, 1888910.0)	(45.0, 1925658.0)	(46.0, 1929785.5)	(47.0, 1906006.0)	(48.0, 1865519.0)	(49.0, 1774770.5)	(50.0, 1697519.5)	(51.0, 1619207.5)	(52.0, 1521410.5)	(53.0, 1400733.5)	(54.0, 1301715.0)	(55.0, 1219315.0)	(56.0, 1109555.5)	(57.0, 991873.5)	(58.0, 900842.0)	(59.0, 799003.5)	(60.0, 670524.5)	(61.0, 560247.0)	(62.0, 490561.0)	(63.0, 433680.0)	(64.0, 355702.0)	(65.0, 295995.5)	(66.0, 250995.5)	(67.0, 236207.0)	(68.0, 226056.0)	(69.0, 185807.5)	(70.0, 146027.0)	(71.0, 129451.5)	(72.0, 106176.5)	(73.0, 81088.0)	(74.0, 71811.5)	(75.0, 69992.0)	(76.0, 65195.0)	(77.0, 58023.5)	(78.0, 54356.5)	(79.0, 54529.0)	(80.0, 56187.5)	(81.0, 56748.5)	(82.0, 62296.5)	(83.0, 69838.0)	(84.0, 73654.0)	(85.0, 70771.5)	(86.0, 60977.5)	(87.0, 55835.5)	(88.0, 53047.0)	(89.0, 40446.0)	(90.0, 23559.0)	(91.0, 13957.0)	(92.0, 10888.5)	(93.0, 9762.5)	(94.0, 7891.0)	(95.0, 5896.0)	(96.0, 4905.5)	(97.0, 4565.0)	(98.0, 4551.0)	(99.0, 11081.0)	(100.0, 17303.0)
SRR5642568_1	(0.0, 1505.0)	(1.0, 1793.0)	(2.0, 1869.5)	(3.0, 1717.5)	(4.0, 1777.0)	(5.0, 1975.5)	(6.0, 2583.0)	(7.0, 3664.0)	(8.0, 4385.0)	(9.0, 5521.5)	(10.0, 8100.0)	(11.0, 11704.0)	(12.0, 13873.5)	(13.0, 17105.5)	(14.0, 24669.5)	(15.0, 35033.0)	(16.0, 46195.5)	(17.0, 56611.5)	(18.0, 75711.0)	(19.0, 109077.0)	(20.0, 146351.5)	(21.0, 181397.0)	(22.0, 245499.5)	(23.0, 356130.0)	(24.0, 469617.5)	(25.0, 561617.0)	(26.0, 648219.0)	(27.0, 737869.0)	(28.0, 807045.5)	(29.0, 807208.0)	(30.0, 831305.5)	(31.0, 922380.0)	(32.0, 1011268.5)	(33.0, 1089226.0)	(34.0, 1184136.5)	(35.0, 1293715.0)	(36.0, 1370307.5)	(37.0, 1413443.0)	(38.0, 1402912.5)	(39.0, 1399388.5)	(40.0, 1435022.0)	(41.0, 1468773.0)	(42.0, 1485421.0)	(43.0, 1496296.5)	(44.0, 1509217.5)	(45.0, 1509534.0)	(46.0, 1504532.0)	(47.0, 1486813.0)	(48.0, 1459939.5)	(49.0, 1420351.0)	(50.0, 1383509.0)	(51.0, 1337151.0)	(52.0, 1281172.0)	(53.0, 1219835.5)	(54.0, 1163547.5)	(55.0, 1102565.0)	(56.0, 1023385.5)	(57.0, 933914.0)	(58.0, 862916.5)	(59.0, 793407.0)	(60.0, 706238.5)	(61.0, 622145.5)	(62.0, 559825.0)	(63.0, 504502.0)	(64.0, 430616.0)	(65.0, 392370.0)	(66.0, 337433.0)	(67.0, 283212.5)	(68.0, 248788.5)	(69.0, 206234.0)	(70.0, 183018.5)	(71.0, 164411.0)	(72.0, 147474.5)	(73.0, 139348.0)	(74.0, 136921.0)	(75.0, 129092.5)	(76.0, 117185.0)	(77.0, 111375.5)	(78.0, 109170.5)	(79.0, 108397.0)	(80.0, 113991.5)	(81.0, 127928.0)	(82.0, 130003.5)	(83.0, 123499.5)	(84.0, 111675.0)	(85.0, 88347.5)	(86.0, 69124.5)	(87.0, 61241.0)	(88.0, 58314.5)	(89.0, 53269.5)	(90.0, 42101.0)	(91.0, 29727.0)	(92.0, 26325.5)	(93.0, 25151.5)	(94.0, 23214.0)	(95.0, 22188.5)	(96.0, 21983.0)	(97.0, 18121.5)	(98.0, 12003.5)	(99.0, 9330.5)	(100.0, 8919.0)
SRR5642568_2	(0.0, 3378.0)	(1.0, 3379.0)	(2.0, 2674.0)	(3.0, 2372.0)	(4.0, 2792.0)	(5.0, 3235.0)	(6.0, 4307.0)	(7.0, 5877.0)	(8.0, 6868.5)	(9.0, 8377.5)	(10.0, 11835.5)	(11.0, 16682.0)	(12.0, 19604.0)	(13.0, 23526.5)	(14.0, 32619.0)	(15.0, 44138.0)	(16.0, 56075.5)	(17.0, 66344.5)	(18.0, 87054.5)	(19.0, 166667.5)	(20.0, 199987.0)	(21.0, 181250.0)	(22.0, 210266.0)	(23.0, 268666.5)	(24.0, 333138.0)	(25.0, 400056.0)	(26.0, 483501.5)	(27.0, 616762.0)	(28.0, 739008.0)	(29.0, 796252.5)	(30.0, 967021.0)	(31.0, 1374242.5)	(32.0, 1509079.5)	(33.0, 1357255.0)	(34.0, 1339474.5)	(35.0, 1422353.5)	(36.0, 1555458.0)	(37.0, 1548454.5)	(38.0, 1527095.5)	(39.0, 1569068.5)	(40.0, 1591248.5)	(41.0, 1625513.5)	(42.0, 1643598.5)	(43.0, 1626649.0)	(44.0, 1608510.5)	(45.0, 1628221.5)	(46.0, 1619863.0)	(47.0, 1580143.5)	(48.0, 1535675.5)	(49.0, 1459510.5)	(50.0, 1389916.0)	(51.0, 1323641.0)	(52.0, 1243411.5)	(53.0, 1145207.0)	(54.0, 1067056.0)	(55.0, 1001493.5)	(56.0, 912473.0)	(57.0, 817437.0)	(58.0, 745232.5)	(59.0, 664733.5)	(60.0, 561245.5)	(61.0, 473223.0)	(62.0, 418174.0)	(63.0, 369613.0)	(64.0, 302044.0)	(65.0, 252552.5)	(66.0, 217534.0)	(67.0, 205895.5)	(68.0, 200775.5)	(69.0, 168000.0)	(70.0, 130930.5)	(71.0, 115463.5)	(72.0, 94724.0)	(73.0, 71112.0)	(74.0, 62510.0)	(75.0, 62257.0)	(76.0, 58955.0)	(77.0, 53257.0)	(78.0, 50831.0)	(79.0, 51510.5)	(80.0, 52969.5)	(81.0, 54998.5)	(82.0, 63465.0)	(83.0, 73018.0)	(84.0, 77710.5)	(85.0, 73301.0)	(86.0, 61691.0)	(87.0, 56202.0)	(88.0, 52466.5)	(89.0, 39026.0)	(90.0, 21905.0)	(91.0, 12280.0)	(92.0, 9420.5)	(93.0, 8468.0)	(94.0, 6523.5)	(95.0, 4317.5)	(96.0, 3185.0)	(97.0, 2740.0)	(98.0, 2275.0)	(99.0, 4720.5)	(100.0, 7195.0)
SRR5642569_1	(0.0, 1110.0)	(1.0, 1319.5)	(2.0, 1499.5)	(3.0, 1647.5)	(4.0, 1825.5)	(5.0, 2104.5)	(6.0, 2898.5)	(7.0, 4311.5)	(8.0, 5254.5)	(9.0, 6505.0)	(10.0, 9672.0)	(11.0, 14382.0)	(12.0, 17226.5)	(13.0, 21008.0)	(14.0, 29990.0)	(15.0, 42185.5)	(16.0, 54781.5)	(17.0, 65983.0)	(18.0, 86598.0)	(19.0, 122588.0)	(20.0, 162555.5)	(21.0, 200280.0)	(22.0, 267833.5)	(23.0, 384195.0)	(24.0, 506194.5)	(25.0, 606587.0)	(26.0, 699014.0)	(27.0, 797185.5)	(28.0, 877722.0)	(29.0, 885968.5)	(30.0, 924050.5)	(31.0, 1042386.5)	(32.0, 1158343.5)	(33.0, 1251563.0)	(34.0, 1373555.0)	(35.0, 1529189.5)	(36.0, 1645399.5)	(37.0, 1712423.0)	(38.0, 1727500.5)	(39.0, 1766226.0)	(40.0, 1840969.5)	(41.0, 1916102.5)	(42.0, 1963976.5)	(43.0, 1997772.5)	(44.0, 2040086.0)	(45.0, 2065709.0)	(46.0, 2076526.0)	(47.0, 2065338.5)	(48.0, 2049845.0)	(49.0, 2016778.0)	(50.0, 1978395.5)	(51.0, 1924345.0)	(52.0, 1855829.5)	(53.0, 1769271.5)	(54.0, 1688320.0)	(55.0, 1604473.5)	(56.0, 1489891.0)	(57.0, 1355863.0)	(58.0, 1252176.5)	(59.0, 1148107.0)	(60.0, 1010383.5)	(61.0, 875128.5)	(62.0, 777156.0)	(63.0, 690383.5)	(64.0, 576183.0)	(65.0, 502809.5)	(66.0, 419947.0)	(67.0, 353079.5)	(68.0, 310809.0)	(69.0, 259688.0)	(70.0, 228771.5)	(71.0, 207111.5)	(72.0, 186394.0)	(73.0, 173073.5)	(74.0, 166837.5)	(75.0, 156381.0)	(76.0, 142570.0)	(77.0, 132996.5)	(78.0, 127848.0)	(79.0, 125690.0)	(80.0, 129325.5)	(81.0, 141621.0)	(82.0, 142392.0)	(83.0, 134521.0)	(84.0, 120098.5)	(85.0, 93747.0)	(86.0, 73990.0)	(87.0, 66164.5)	(88.0, 62329.5)	(89.0, 56564.5)	(90.0, 45448.5)	(91.0, 33404.0)	(92.0, 30348.0)	(93.0, 29175.5)	(94.0, 27058.0)	(95.0, 26080.0)	(96.0, 26084.0)	(97.0, 21654.5)	(98.0, 14755.5)	(99.0, 11968.5)	(100.0, 11654.0)
SRR5642569_2	(0.0, 3787.0)	(1.0, 3792.0)	(2.0, 3098.0)	(3.0, 2809.5)	(4.0, 3231.0)	(5.0, 3921.5)	(6.0, 5400.5)	(7.0, 7536.5)	(8.0, 8953.5)	(9.0, 10936.0)	(10.0, 15533.0)	(11.0, 22002.5)	(12.0, 25888.0)	(13.0, 31032.5)	(14.0, 42572.0)	(15.0, 57043.5)	(16.0, 71499.0)	(17.0, 83349.0)	(18.0, 107303.5)	(19.0, 195178.5)	(20.0, 233308.0)	(21.0, 214936.0)	(22.0, 248452.5)	(23.0, 316109.0)	(24.0, 389742.5)	(25.0, 463995.0)	(26.0, 554897.5)	(27.0, 702654.0)	(28.0, 842347.5)	(29.0, 908748.0)	(30.0, 1095665.5)	(31.0, 1540866.5)	(32.0, 1713475.0)	(33.0, 1576002.5)	(34.0, 1580579.0)	(35.0, 1713746.0)	(36.0, 1902374.5)	(37.0, 1921159.5)	(38.0, 1922902.5)	(39.0, 2016729.0)	(40.0, 2089264.5)	(41.0, 2163374.5)	(42.0, 2202153.5)	(43.0, 2197609.5)	(44.0, 2196831.0)	(45.0, 2225727.0)	(46.0, 2220682.5)	(47.0, 2181235.5)	(48.0, 2133373.5)	(49.0, 2042694.0)	(50.0, 1958167.0)	(51.0, 1874858.0)	(52.0, 1768797.0)	(53.0, 1635521.5)	(54.0, 1526596.5)	(55.0, 1431137.5)	(56.0, 1298085.0)	(57.0, 1157164.0)	(58.0, 1053482.0)	(59.0, 939451.5)	(60.0, 789213.5)	(61.0, 657584.0)	(62.0, 574406.0)	(63.0, 504056.0)	(64.0, 403684.5)	(65.0, 326657.5)	(66.0, 266739.5)	(67.0, 238831.5)	(68.0, 224371.0)	(69.0, 187297.0)	(70.0, 149764.5)	(71.0, 132473.0)	(72.0, 111394.0)	(73.0, 86680.5)	(74.0, 74905.0)	(75.0, 71956.5)	(76.0, 66656.0)	(77.0, 58663.0)	(78.0, 55357.0)	(79.0, 55605.0)	(80.0, 56623.0)	(81.0, 58104.5)	(82.0, 65025.5)	(83.0, 74175.0)	(84.0, 80318.0)	(85.0, 75318.5)	(86.0, 62268.5)	(87.0, 56455.0)	(88.0, 52301.5)	(89.0, 38454.0)	(90.0, 21519.0)	(91.0, 12373.5)	(92.0, 9775.0)	(93.0, 8893.5)	(94.0, 7023.5)	(95.0, 4927.0)	(96.0, 3857.0)	(97.0, 3433.5)	(98.0, 3177.0)	(99.0, 7874.0)	(100.0, 12409.0)
SRR5642571_1	(0.0, 1122.0)	(1.0, 1364.5)	(2.0, 1483.5)	(3.0, 1617.5)	(4.0, 1875.0)	(5.0, 2283.5)	(6.0, 3438.5)	(7.0, 5324.5)	(8.0, 6504.5)	(9.0, 8394.5)	(10.0, 12886.5)	(11.0, 18760.5)	(12.0, 22132.0)	(13.0, 27475.0)	(14.0, 39787.0)	(15.0, 55489.0)	(16.0, 71132.5)	(17.0, 85387.5)	(18.0, 111345.0)	(19.0, 156140.0)	(20.0, 205787.0)	(21.0, 253062.5)	(22.0, 337716.0)	(23.0, 481000.5)	(24.0, 625674.5)	(25.0, 741136.0)	(26.0, 846676.0)	(27.0, 955262.5)	(28.0, 1043450.5)	(29.0, 1051012.0)	(30.0, 1090231.5)	(31.0, 1220288.0)	(32.0, 1349773.0)	(33.0, 1454981.0)	(34.0, 1589352.5)	(35.0, 1754816.0)	(36.0, 1870718.5)	(37.0, 1933459.0)	(38.0, 1935599.5)	(39.0, 1954491.0)	(40.0, 2019774.0)	(41.0, 2084885.0)	(42.0, 2121566.0)	(43.0, 2150301.5)	(44.0, 2186562.5)	(45.0, 2204567.5)	(46.0, 2208123.0)	(47.0, 2190350.0)	(48.0, 2160796.0)	(49.0, 2109850.0)	(50.0, 2061846.5)	(51.0, 1994997.0)	(52.0, 1910946.5)	(53.0, 1817809.0)	(54.0, 1733335.5)	(55.0, 1643869.0)	(56.0, 1520001.0)	(57.0, 1378806.5)	(58.0, 1271827.0)	(59.0, 1166324.0)	(60.0, 1029143.0)	(61.0, 897869.5)	(62.0, 804015.5)	(63.0, 723339.5)	(64.0, 619765.0)	(65.0, 566696.5)	(66.0, 486145.0)	(67.0, 406174.0)	(68.0, 354673.5)	(69.0, 290557.5)	(70.0, 254674.5)	(71.0, 231735.0)	(72.0, 213003.0)	(73.0, 204392.5)	(74.0, 201573.5)	(75.0, 186694.0)	(76.0, 166490.5)	(77.0, 156984.5)	(78.0, 151274.0)	(79.0, 147274.0)	(80.0, 152633.5)	(81.0, 171763.0)	(82.0, 177963.0)	(83.0, 171052.5)	(84.0, 153793.0)	(85.0, 121399.0)	(86.0, 96284.5)	(87.0, 85666.0)	(88.0, 81147.0)	(89.0, 74506.5)	(90.0, 61461.5)	(91.0, 46396.0)	(92.0, 42073.5)	(93.0, 40176.0)	(94.0, 36864.0)	(95.0, 34990.0)	(96.0, 34575.5)	(97.0, 28231.0)	(98.0, 17958.5)	(99.0, 13074.5)	(100.0, 12124.0)
SRR5642571_2	(0.0, 3803.0)	(1.0, 3871.0)	(2.0, 3209.0)	(3.0, 3109.0)	(4.0, 3758.0)	(5.0, 4663.0)	(6.0, 6918.0)	(7.0, 10099.0)	(8.0, 12034.0)	(9.0, 14721.0)	(10.0, 21210.5)	(11.0, 30224.0)	(12.0, 35450.0)	(13.0, 42336.5)	(14.0, 57813.0)	(15.0, 76948.0)	(16.0, 95824.0)	(17.0, 111158.0)	(18.0, 140977.5)	(19.0, 245398.5)	(20.0, 290530.5)	(21.0, 270032.5)	(22.0, 310414.5)	(23.0, 389711.0)	(24.0, 475817.0)	(25.0, 561940.0)	(26.0, 671358.0)	(27.0, 851256.0)	(28.0, 1011978.5)	(29.0, 1083025.0)	(30.0, 1303748.0)	(31.0, 1830998.0)	(32.0, 2022697.5)	(33.0, 1838054.5)	(34.0, 1815872.0)	(35.0, 1939601.5)	(36.0, 2130812.5)	(37.0, 2132576.0)	(38.0, 2118264.0)	(39.0, 2198978.5)	(40.0, 2254951.5)	(41.0, 2319143.5)	(42.0, 2351832.5)	(43.0, 2332963.5)	(44.0, 2317542.0)	(45.0, 2358584.5)	(46.0, 2354339.0)	(47.0, 2302606.0)	(48.0, 2243171.0)	(49.0, 2130196.0)	(50.0, 2029998.5)	(51.0, 1936357.0)	(52.0, 1820286.0)	(53.0, 1678881.5)	(54.0, 1565572.0)	(55.0, 1469008.5)	(56.0, 1337874.5)	(57.0, 1196551.0)	(58.0, 1089225.0)	(59.0, 971717.5)	(60.0, 816956.5)	(61.0, 682542.5)	(62.0, 598332.0)	(63.0, 529251.5)	(64.0, 433499.5)	(65.0, 360692.5)	(66.0, 308299.0)	(67.0, 293012.5)	(68.0, 288971.0)	(69.0, 241291.5)	(70.0, 181677.0)	(71.0, 155871.0)	(72.0, 130080.5)	(73.0, 101438.5)	(74.0, 91019.5)	(75.0, 91138.0)	(76.0, 85329.0)	(77.0, 74851.0)	(78.0, 69776.0)	(79.0, 69789.5)	(80.0, 70723.5)	(81.0, 71836.5)	(82.0, 84906.5)	(83.0, 104414.0)	(84.0, 114962.5)	(85.0, 103568.0)	(86.0, 80321.0)	(87.0, 70931.0)	(88.0, 65432.5)	(89.0, 48033.0)	(90.0, 27716.0)	(91.0, 16759.0)	(92.0, 13422.0)	(93.0, 12127.5)	(94.0, 9474.0)	(95.0, 6839.5)	(96.0, 5631.5)	(97.0, 5062.5)	(98.0, 4701.0)	(99.0, 9844.0)	(100.0, 14786.0)
