Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34
SRR5642565_1	(2.0, 305.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 5.0)	(8.0, 6.0)	(9.0, 28.0)	(10.0, 39.0)	(11.0, 148.0)	(12.0, 886.0)	(13.0, 4051.0)	(14.0, 11680.0)	(15.0, 26050.0)	(16.0, 52018.0)	(17.0, 101863.0)	(18.0, 196722.0)	(19.0, 350029.0)	(20.0, 541613.0)	(21.0, 729763.0)	(22.0, 906073.0)	(23.0, 1091939.0)	(24.0, 1310081.0)	(25.0, 1575080.0)	(26.0, 1884053.0)	(27.0, 2229471.0)	(28.0, 2542408.0)	(29.0, 2762516.0)	(30.0, 2773921.0)	(31.0, 2524121.0)	(32.0, 2142859.0)	(33.0, 2228685.0)	(34.0, 3608699.0)	(35.0, 7347484.0)	(36.0, 4333670.0)
SRR5642565_2	(2.0, 3346.0)	(3.0, 1972.0)	(4.0, 1313.0)	(5.0, 532.0)	(6.0, 396.0)	(7.0, 430.0)	(8.0, 353.0)	(9.0, 612.0)	(10.0, 1689.0)	(11.0, 4927.0)	(12.0, 10893.0)	(13.0, 19283.0)	(14.0, 30609.0)	(15.0, 49274.0)	(16.0, 85420.0)	(17.0, 158121.0)	(18.0, 285944.0)	(19.0, 470130.0)	(20.0, 676412.0)	(21.0, 854591.0)	(22.0, 1015571.0)	(23.0, 1166214.0)	(24.0, 1337202.0)	(25.0, 1531841.0)	(26.0, 1755486.0)	(27.0, 2004544.0)	(28.0, 2261563.0)	(29.0, 2494519.0)	(30.0, 2615140.0)	(31.0, 2564379.0)	(32.0, 2307052.0)	(33.0, 2192799.0)	(34.0, 2891984.0)	(35.0, 6118194.0)	(36.0, 6363531.0)
SRR5642566_1	(2.0, 3655.0)	(3.0, 0.0)	(4.0, 1.0)	(5.0, 0.0)	(6.0, 7.0)	(7.0, 33.0)	(8.0, 109.0)	(9.0, 300.0)	(10.0, 507.0)	(11.0, 880.0)	(12.0, 2036.0)	(13.0, 4971.0)	(14.0, 12621.0)	(15.0, 26840.0)	(16.0, 51954.0)	(17.0, 99583.0)	(18.0, 188987.0)	(19.0, 332253.0)	(20.0, 512150.0)	(21.0, 696722.0)	(22.0, 872853.0)	(23.0, 1060976.0)	(24.0, 1274668.0)	(25.0, 1532619.0)	(26.0, 1832791.0)	(27.0, 2171782.0)	(28.0, 2477908.0)	(29.0, 2708983.0)	(30.0, 2743907.0)	(31.0, 2541421.0)	(32.0, 2221877.0)	(33.0, 2391541.0)	(34.0, 3933746.0)	(35.0, 8062058.0)	(36.0, 4767855.0)
SRR5642566_2	(2.0, 6679.0)	(3.0, 2182.0)	(4.0, 1481.0)	(5.0, 632.0)	(6.0, 430.0)	(7.0, 457.0)	(8.0, 410.0)	(9.0, 838.0)	(10.0, 2205.0)	(11.0, 6613.0)	(12.0, 14703.0)	(13.0, 25183.0)	(14.0, 37370.0)	(15.0, 56160.0)	(16.0, 89535.0)	(17.0, 157433.0)	(18.0, 279019.0)	(19.0, 450929.0)	(20.0, 645441.0)	(21.0, 823907.0)	(22.0, 984806.0)	(23.0, 1141214.0)	(24.0, 1310914.0)	(25.0, 1504936.0)	(26.0, 1724415.0)	(27.0, 1977911.0)	(28.0, 2231726.0)	(29.0, 2462685.0)	(30.0, 2596751.0)	(31.0, 2569211.0)	(32.0, 2360016.0)	(33.0, 2331359.0)	(34.0, 3180536.0)	(35.0, 6702213.0)	(36.0, 6848294.0)
SRR5642568_1	(2.0, 639.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 5.0)	(7.0, 6.0)	(8.0, 26.0)	(9.0, 75.0)	(10.0, 104.0)	(11.0, 200.0)	(12.0, 973.0)	(13.0, 3891.0)	(14.0, 10727.0)	(15.0, 23486.0)	(16.0, 45978.0)	(17.0, 88172.0)	(18.0, 168251.0)	(19.0, 300666.0)	(20.0, 472069.0)	(21.0, 651435.0)	(22.0, 830767.0)	(23.0, 1011877.0)	(24.0, 1216796.0)	(25.0, 1453064.0)	(26.0, 1717177.0)	(27.0, 2014736.0)	(28.0, 2283763.0)	(29.0, 2474014.0)	(30.0, 2486706.0)	(31.0, 2273738.0)	(32.0, 1938581.0)	(33.0, 2024470.0)	(34.0, 3285699.0)	(35.0, 6798570.0)	(36.0, 4059784.0)
SRR5642568_2	(2.0, 3237.0)	(3.0, 1807.0)	(4.0, 1258.0)	(5.0, 536.0)	(6.0, 356.0)	(7.0, 357.0)	(8.0, 339.0)	(9.0, 559.0)	(10.0, 1523.0)	(11.0, 4189.0)	(12.0, 9021.0)	(13.0, 15687.0)	(14.0, 25303.0)	(15.0, 40914.0)	(16.0, 71668.0)	(17.0, 133229.0)	(18.0, 243498.0)	(19.0, 405410.0)	(20.0, 590569.0)	(21.0, 764163.0)	(22.0, 920459.0)	(23.0, 1069494.0)	(24.0, 1226796.0)	(25.0, 1401598.0)	(26.0, 1596984.0)	(27.0, 1820867.0)	(28.0, 2041906.0)	(29.0, 2242927.0)	(30.0, 2353168.0)	(31.0, 2304018.0)	(32.0, 2078984.0)	(33.0, 1982802.0)	(34.0, 2635808.0)	(35.0, 5654824.0)	(36.0, 5992187.0)
SRR5642569_1	(2.0, 341.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 2.0)	(8.0, 9.0)	(9.0, 21.0)	(10.0, 61.0)	(11.0, 173.0)	(12.0, 954.0)	(13.0, 4475.0)	(14.0, 13762.0)	(15.0, 30476.0)	(16.0, 61441.0)	(17.0, 120481.0)	(18.0, 233665.0)	(19.0, 412079.0)	(20.0, 633525.0)	(21.0, 849675.0)	(22.0, 1053839.0)	(23.0, 1262946.0)	(24.0, 1509599.0)	(25.0, 1812589.0)	(26.0, 2159810.0)	(27.0, 2555565.0)	(28.0, 2913344.0)	(29.0, 3170944.0)	(30.0, 3196700.0)	(31.0, 2931872.0)	(32.0, 2524206.0)	(33.0, 2687418.0)	(34.0, 4388268.0)	(35.0, 8977674.0)	(36.0, 5332431.0)
SRR5642569_2	(2.0, 3988.0)	(3.0, 2312.0)	(4.0, 1729.0)	(5.0, 653.0)	(6.0, 481.0)	(7.0, 455.0)	(8.0, 412.0)	(9.0, 752.0)	(10.0, 1845.0)	(11.0, 5368.0)	(12.0, 11456.0)	(13.0, 20073.0)	(14.0, 32824.0)	(15.0, 53930.0)	(16.0, 96391.0)	(17.0, 182559.0)	(18.0, 335609.0)	(19.0, 550770.0)	(20.0, 787215.0)	(21.0, 993226.0)	(22.0, 1173708.0)	(23.0, 1351133.0)	(24.0, 1544473.0)	(25.0, 1773393.0)	(26.0, 2035565.0)	(27.0, 2334500.0)	(28.0, 2632225.0)	(29.0, 2894904.0)	(30.0, 3023104.0)	(31.0, 2950917.0)	(32.0, 2669180.0)	(33.0, 2612390.0)	(34.0, 3571604.0)	(35.0, 7540871.0)	(36.0, 7648330.0)
SRR5642571_1	(2.0, 531.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 3.0)	(7.0, 8.0)	(8.0, 23.0)	(9.0, 62.0)	(10.0, 78.0)	(11.0, 264.0)	(12.0, 1247.0)	(13.0, 5871.0)	(14.0, 17320.0)	(15.0, 39472.0)	(16.0, 80386.0)	(17.0, 160600.0)	(18.0, 313772.0)	(19.0, 552186.0)	(20.0, 837621.0)	(21.0, 1102474.0)	(22.0, 1328987.0)	(23.0, 1564079.0)	(24.0, 1832067.0)	(25.0, 2177098.0)	(26.0, 2577181.0)	(27.0, 3027433.0)	(28.0, 3438121.0)	(29.0, 3712610.0)	(30.0, 3694887.0)	(31.0, 3313139.0)	(32.0, 2725874.0)	(33.0, 2717685.0)	(34.0, 4318332.0)	(35.0, 8780362.0)	(36.0, 5161648.0)
SRR5642571_2	(2.0, 4053.0)	(3.0, 2399.0)	(4.0, 1672.0)	(5.0, 670.0)	(6.0, 466.0)	(7.0, 471.0)	(8.0, 440.0)	(9.0, 718.0)	(10.0, 2157.0)	(11.0, 6765.0)	(12.0, 15335.0)	(13.0, 27585.0)	(14.0, 44428.0)	(15.0, 73102.0)	(16.0, 128232.0)	(17.0, 241088.0)	(18.0, 442449.0)	(19.0, 721992.0)	(20.0, 1018640.0)	(21.0, 1264340.0)	(22.0, 1462944.0)	(23.0, 1656401.0)	(24.0, 1873084.0)	(25.0, 2135728.0)	(26.0, 2432642.0)	(27.0, 2776067.0)	(28.0, 3101656.0)	(29.0, 3374799.0)	(30.0, 3471085.0)	(31.0, 3294040.0)	(32.0, 2856643.0)	(33.0, 2622724.0)	(34.0, 3443585.0)	(35.0, 7358847.0)	(36.0, 7624174.0)
