Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR5642565_1	(1.0, 88.28715461481828)	(2.0, 3.0943105614144684)	(3.0, 1.1306790406268383)	(4.0, 0.6013471943254968)	(5.0, 0.37617909114686565)	(6.0, 0.2733830106540519)	(7.0, 0.21365698209291328)	(8.0, 0.18138676338766083)	(9.0, 0.1658163096896539)	('>10', 1.8120003279441168)	('>50', 0.5407705328950578)	('>100', 1.0342397593572226)	('>500', 0.3497697046129471)	('>1k', 0.8763192826346163)	('>5k', 0.30097629283451277)	('>10k+', 0.7620105315652057)
SRR5642565_2	(1.0, 69.52255669052003)	(2.0, 5.438437190874521)	(3.0, 2.638789914577195)	(4.0, 1.715645093310155)	(5.0, 1.0671432015578333)	(6.0, 0.8590879067633825)	(7.0, 0.6970956224142001)	(8.0, 0.538420003147516)	(9.0, 0.5213554885064204)	('>10', 5.63886992549481)	('>50', 1.4843861400768983)	('>100', 2.283504275760086)	('>500', 0.9811674361993717)	('>1k', 2.2734165200227117)	('>5k', 0.724937791577808)	('>10k+', 3.615186799197298)
SRR5642566_1	(1.0, 88.03044070295562)	(2.0, 2.9021868165553117)	(3.0, 1.1518790715518579)	(4.0, 0.5927899781986733)	(5.0, 0.35511490235205323)	(6.0, 0.31035736420881754)	(7.0, 0.23009398750865406)	(8.0, 0.17917401996045212)	(9.0, 0.171501108095605)	('>10', 1.9528829894020743)	('>50', 0.608850189750291)	('>100', 1.1099154677178558)	('>500', 0.36340639004964886)	('>1k', 1.0212912889764054)	('>5k', 0.4050268054732168)	('>10k+', 0.6150889172434472)
SRR5642566_2	(1.0, 69.85733636975773)	(2.0, 5.25055065813948)	(3.0, 2.5201952868031277)	(4.0, 1.5695820058444159)	(5.0, 1.086208652559819)	(6.0, 0.8135876418082703)	(7.0, 0.6672488228613849)	(8.0, 0.5762176367476476)	(9.0, 0.4868168879801762)	('>10', 5.454250034850013)	('>50', 1.3488261770246024)	('>100', 2.1615188245716963)	('>500', 0.9843508767873743)	('>1k', 2.3156407391782037)	('>5k', 0.9427175504677162)	('>10k+', 3.96495183461837)
SRR5642568_1	(1.0, 87.9193259133739)	(2.0, 2.9946604061039035)	(3.0, 1.1138812358303758)	(4.0, 0.5762784961309003)	(5.0, 0.36837299516445166)	(6.0, 0.27665059452376556)	(7.0, 0.21808097062403428)	(8.0, 0.16230458064581485)	(9.0, 0.14971737174242356)	('>10', 1.8807554701044733)	('>50', 0.6149648302407089)	('>100', 1.1928186425012515)	('>500', 0.43382543446841393)	('>1k', 1.00486292717854)	('>5k', 0.5211442004228649)	('>10k+', 0.5723559309441822)
SRR5642568_2	(1.0, 70.41670074371162)	(2.0, 5.556612473658232)	(3.0, 2.690133425910204)	(4.0, 1.692352856084829)	(5.0, 1.014997189790644)	(6.0, 0.813882720141002)	(7.0, 0.6492454177012454)	(8.0, 0.5128937854197944)	(9.0, 0.42259547620168686)	('>10', 4.806090319018694)	('>50', 1.156504524253506)	('>100', 2.0969838104191787)	('>500', 0.9067215107088409)	('>1k', 2.313159922987332)	('>5k', 0.7852570228603636)	('>10k+', 4.16586880113255)
SRR5642569_1	(1.0, 88.81593849335474)	(2.0, 3.0808660480329717)	(3.0, 1.161191765620414)	(4.0, 0.6255234956836396)	(5.0, 0.3826039371436929)	(6.0, 0.3168621717655036)	(7.0, 0.20651858787742064)	(8.0, 0.17903534592426956)	(9.0, 0.1485246896936882)	('>10', 1.6487192911134576)	('>50', 0.5141989989263104)	('>100', 1.0493641793800275)	('>500', 0.32663700364923653)	('>1k', 0.8239641403081513)	('>5k', 0.30423230696298975)	('>10k+', 0.41581954456345066)
SRR5642569_2	(1.0, 69.94969301135342)	(2.0, 5.549950380458709)	(3.0, 2.681047826350038)	(4.0, 1.573791461257226)	(5.0, 1.1337518883604059)	(6.0, 0.7956021778425881)	(7.0, 0.6972516880072774)	(8.0, 0.6286697331790535)	(9.0, 0.447388661417497)	('>10', 5.631679044402274)	('>50', 1.4293655880557325)	('>100', 2.169565571020029)	('>500', 0.9294316195631539)	('>1k', 2.042225441111888)	('>5k', 0.8672699648887185)	('>10k+', 3.4733159427319067)
SRR5642571_1	(1.0, 57.805528100938105)	(2.0, 14.19961305406703)	(3.0, 5.6027555990994955)	(4.0, 2.831618095739119)	(5.0, 1.7099283926078357)	(6.0, 1.204711112147674)	(7.0, 0.8865968989515706)	(8.0, 0.7155937686255078)	(9.0, 0.5925790787056537)	('>10', 5.472607771635859)	('>50', 1.5660528646618852)	('>100', 3.105680571584053)	('>500', 1.1016158747722957)	('>1k', 1.8808419425082874)	('>5k', 0.5156529423640124)	('>10k+', 0.808623931591796)
SRR5642571_2	(1.0, 43.44552817905555)	(2.0, 11.465913175858137)	(3.0, 5.7435725311400985)	(4.0, 3.409830426107558)	(5.0, 2.35685823939103)	(6.0, 1.806836116657828)	(7.0, 1.4506443147407917)	(8.0, 1.1821765505008033)	(9.0, 1.086634775273319)	('>10', 11.6080800304585)	('>50', 2.878057934197202)	('>100', 4.050685497551255)	('>500', 1.321313363775461)	('>1k', 2.7443673319222435)	('>5k', 1.0789806870830538)	('>10k+', 4.370520846287157)
SRR5642572_1	(1.0, 58.07186930019047)	(2.0, 14.851332494630135)	(3.0, 5.7977248931832)	(4.0, 2.784312764623031)	(5.0, 1.7304618514077057)	(6.0, 1.2197256275067228)	(7.0, 0.8218578800621468)	(8.0, 0.687313601428124)	(9.0, 0.5282161505320603)	('>10', 5.254927325424246)	('>50', 1.5082816556288727)	('>100', 2.8054848657362896)	('>500', 1.0641386581991568)	('>1k', 1.6821216624688649)	('>5k', 0.4728748167233897)	('>10k+', 0.7193564522557168)
SRR5642572_2	(1.0, 44.205833112462564)	(2.0, 11.893925578336207)	(3.0, 5.992372817473782)	(4.0, 3.613113814717115)	(5.0, 2.420927273570469)	(6.0, 1.8390846509344705)	(7.0, 1.4635466191573718)	(8.0, 1.2407831562167202)	(9.0, 1.0875025317655405)	('>10', 11.331075993899587)	('>50', 2.667050380095187)	('>100', 3.8462371407689306)	('>500', 1.26093251618222)	('>1k', 2.4418649710327904)	('>5k', 0.7752685642642388)	('>10k+', 3.920480879122754)
