Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44
SRR5642565_1	(32, 3512.0)	(33, 326.0)	(34, 368.0)	(35, 250.0)	(36, 250.0)	(37, 260.0)	(38, 515.0)	(39, 322.0)	(40, 391.0)	(41, 370.0)	(42, 872.0)	(43, 620.0)	(44, 504.0)	(45, 516.0)	(46, 851.0)	(47, 578.0)	(48, 660.0)	(49, 741.0)	(50, 836.0)	(51, 929.0)	(52, 1157.0)	(53, 1433.0)	(54, 2681.0)	(55, 5410.0)	(56, 6114.0)	(57, 5150.0)	(58, 1479.0)	(59, 1903.0)	(60, 4145.0)	(61, 2768.0)	(62, 1334.0)	(63, 1410.0)	(64, 1674.0)	(65, 2085.0)	(66, 2928.0)	(67, 1825.0)	(68, 2508.0)	(69, 2678.0)	(70, 6336.0)	(71, 46424.0)	(72, 208916.0)	(73, 1009601.0)	(74, 3216833.0)	(75, 11031412.0)	(76, 25694391.0)
SRR5642565_2	(32, 8394.0)	(33, 368.0)	(34, 403.0)	(35, 307.0)	(36, 295.0)	(37, 303.0)	(38, 603.0)	(39, 378.0)	(40, 553.0)	(41, 505.0)	(42, 822.0)	(43, 624.0)	(44, 680.0)	(45, 562.0)	(46, 842.0)	(47, 567.0)	(48, 689.0)	(49, 757.0)	(50, 810.0)	(51, 918.0)	(52, 1181.0)	(53, 1437.0)	(54, 2744.0)	(55, 5510.0)	(56, 6178.0)	(57, 5627.0)	(58, 1643.0)	(59, 2039.0)	(60, 4584.0)	(61, 2917.0)	(62, 1496.0)	(63, 1573.0)	(64, 1841.0)	(65, 2150.0)	(66, 2861.0)	(67, 1978.0)	(68, 2633.0)	(69, 2699.0)	(70, 4499.0)	(71, 34825.0)	(72, 183249.0)	(73, 785267.0)	(74, 2973535.0)	(75, 10511376.0)	(76, 26713044.0)
SRR5642566_1	(32, 36197.0)	(33, 2679.0)	(34, 3082.0)	(35, 2113.0)	(36, 2000.0)	(37, 2092.0)	(38, 3781.0)	(39, 2442.0)	(40, 2883.0)	(41, 2952.0)	(42, 5585.0)	(43, 3803.0)	(44, 3240.0)	(45, 3261.0)	(46, 5503.0)	(47, 3411.0)	(48, 3855.0)	(49, 4067.0)	(50, 4274.0)	(51, 5091.0)	(52, 5928.0)	(53, 7013.0)	(54, 12643.0)	(55, 23746.0)	(56, 25304.0)	(57, 20883.0)	(58, 6249.0)	(59, 7709.0)	(60, 15668.0)	(61, 10607.0)	(62, 4765.0)	(63, 4872.0)	(64, 5567.0)	(65, 6309.0)	(66, 7261.0)	(67, 6189.0)	(68, 7340.0)	(69, 7085.0)	(70, 11243.0)	(71, 53293.0)	(72, 227468.0)	(73, 1063673.0)	(74, 3351591.0)	(75, 11429621.0)	(76, 26104256.0)
SRR5642566_2	(32, 39454.0)	(33, 2527.0)	(34, 2884.0)	(35, 2094.0)	(36, 1908.0)	(37, 2030.0)	(38, 3850.0)	(39, 2319.0)	(40, 2928.0)	(41, 2862.0)	(42, 5209.0)	(43, 3642.0)	(44, 3198.0)	(45, 3159.0)	(46, 5292.0)	(47, 3210.0)	(48, 3734.0)	(49, 3923.0)	(50, 4165.0)	(51, 5029.0)	(52, 5874.0)	(53, 6902.0)	(54, 12755.0)	(55, 23900.0)	(56, 25619.0)	(57, 22137.0)	(58, 6520.0)	(59, 8133.0)	(60, 16959.0)	(61, 11031.0)	(62, 5143.0)	(63, 5194.0)	(64, 5924.0)	(65, 6464.0)	(66, 7387.0)	(67, 6434.0)	(68, 7567.0)	(69, 7147.0)	(70, 9242.0)	(71, 42731.0)	(72, 202056.0)	(73, 814118.0)	(74, 3075625.0)	(75, 10696488.0)	(76, 27393827.0)
SRR5642568_1	(32, 8570.0)	(33, 792.0)	(34, 891.0)	(35, 635.0)	(36, 644.0)	(37, 648.0)	(38, 1112.0)	(39, 782.0)	(40, 996.0)	(41, 909.0)	(42, 1855.0)	(43, 1370.0)	(44, 1134.0)	(45, 1223.0)	(46, 1930.0)	(47, 1377.0)	(48, 1495.0)	(49, 1614.0)	(50, 1680.0)	(51, 2109.0)	(52, 2446.0)	(53, 2912.0)	(54, 5041.0)	(55, 8672.0)	(56, 9729.0)	(57, 8055.0)	(58, 2857.0)	(59, 3743.0)	(60, 7400.0)	(61, 4945.0)	(62, 2535.0)	(63, 2617.0)	(64, 3082.0)	(65, 3390.0)	(66, 4300.0)	(67, 3344.0)	(68, 4166.0)	(69, 4266.0)	(70, 7629.0)	(71, 43107.0)	(72, 192316.0)	(73, 919664.0)	(74, 2896857.0)	(75, 10286071.0)	(76, 23175535.0)
SRR5642568_2	(32, 12418.0)	(33, 762.0)	(34, 862.0)	(35, 649.0)	(36, 641.0)	(37, 636.0)	(38, 1140.0)	(39, 768.0)	(40, 1108.0)	(41, 975.0)	(42, 1698.0)	(43, 1286.0)	(44, 1255.0)	(45, 1178.0)	(46, 1856.0)	(47, 1289.0)	(48, 1473.0)	(49, 1574.0)	(50, 1641.0)	(51, 2104.0)	(52, 2386.0)	(53, 2850.0)	(54, 5112.0)	(55, 8722.0)	(56, 9827.0)	(57, 8614.0)	(58, 3015.0)	(59, 3931.0)	(60, 8032.0)	(61, 5183.0)	(62, 2776.0)	(63, 2817.0)	(64, 3267.0)	(65, 3501.0)	(66, 4290.0)	(67, 3510.0)	(68, 4356.0)	(69, 4414.0)	(70, 6149.0)	(71, 34756.0)	(72, 172830.0)	(73, 716446.0)	(74, 2688778.0)	(75, 9631020.0)	(76, 24264550.0)
SRR5642569_1	(32, 4413.0)	(33, 363.0)	(34, 386.0)	(35, 280.0)	(36, 308.0)	(37, 278.0)	(38, 503.0)	(39, 382.0)	(40, 496.0)	(41, 436.0)	(42, 791.0)	(43, 669.0)	(44, 547.0)	(45, 543.0)	(46, 909.0)	(47, 637.0)	(48, 745.0)	(49, 835.0)	(50, 879.0)	(51, 1059.0)	(52, 1230.0)	(53, 1436.0)	(54, 2510.0)	(55, 3889.0)	(56, 4132.0)	(57, 3446.0)	(58, 1434.0)	(59, 1856.0)	(60, 3515.0)	(61, 2257.0)	(62, 1396.0)	(63, 1498.0)	(64, 1805.0)	(65, 2218.0)	(66, 3276.0)	(67, 1916.0)	(68, 2525.0)	(69, 3062.0)	(70, 7241.0)	(71, 54017.0)	(72, 244960.0)	(73, 1210049.0)	(74, 3845758.0)	(75, 13176917.0)	(76, 30240543.0)
SRR5642569_2	(32, 10264.0)	(33, 410.0)	(34, 431.0)	(35, 358.0)	(36, 347.0)	(37, 324.0)	(38, 583.0)	(39, 445.0)	(40, 760.0)	(41, 604.0)	(42, 777.0)	(43, 695.0)	(44, 794.0)	(45, 576.0)	(46, 927.0)	(47, 641.0)	(48, 766.0)	(49, 845.0)	(50, 921.0)	(51, 1072.0)	(52, 1250.0)	(53, 1436.0)	(54, 2563.0)	(55, 3986.0)	(56, 4245.0)	(57, 3850.0)	(58, 1602.0)	(59, 2065.0)	(60, 3876.0)	(61, 2423.0)	(62, 1676.0)	(63, 1712.0)	(64, 2009.0)	(65, 2342.0)	(66, 3505.0)	(67, 2074.0)	(68, 2700.0)	(69, 3078.0)	(70, 5106.0)	(71, 40961.0)	(72, 212784.0)	(73, 922244.0)	(74, 3507488.0)	(75, 12351792.0)	(76, 31729038.0)
SRR5642571_1	(32, 6946.0)	(33, 661.0)	(34, 701.0)	(35, 515.0)	(36, 505.0)	(37, 573.0)	(38, 949.0)	(39, 672.0)	(40, 803.0)	(41, 853.0)	(42, 1850.0)	(43, 1245.0)	(44, 959.0)	(45, 1083.0)	(46, 1735.0)	(47, 1126.0)	(48, 1370.0)	(49, 1458.0)	(50, 1613.0)	(51, 2007.0)	(52, 2374.0)	(53, 2919.0)	(54, 5441.0)	(55, 10671.0)	(56, 11532.0)	(57, 9795.0)	(58, 2947.0)	(59, 3748.0)	(60, 8424.0)	(61, 5614.0)	(62, 2398.0)	(63, 2587.0)	(64, 3095.0)	(65, 3650.0)	(66, 4717.0)	(67, 3606.0)	(68, 4800.0)	(69, 4943.0)	(70, 9472.0)	(71, 60100.0)	(72, 275233.0)	(73, 1327899.0)	(74, 4158416.0)	(75, 14618257.0)	(76, 32911159.0)
SRR5642571_2	(32, 12422.0)	(33, 651.0)	(34, 697.0)	(35, 542.0)	(36, 519.0)	(37, 560.0)	(38, 1036.0)	(39, 691.0)	(40, 994.0)	(41, 983.0)	(42, 1702.0)	(43, 1176.0)	(44, 1148.0)	(45, 1071.0)	(46, 1676.0)	(47, 1076.0)	(48, 1323.0)	(49, 1413.0)	(50, 1569.0)	(51, 2004.0)	(52, 2388.0)	(53, 2879.0)	(54, 5500.0)	(55, 10739.0)	(56, 11697.0)	(57, 10629.0)	(58, 3178.0)	(59, 4010.0)	(60, 9241.0)	(61, 5930.0)	(62, 2625.0)	(63, 2793.0)	(64, 3328.0)	(65, 3778.0)	(66, 4796.0)	(67, 3814.0)	(68, 4946.0)	(69, 5064.0)	(70, 7319.0)	(71, 47380.0)	(72, 245276.0)	(73, 1019015.0)	(74, 3830216.0)	(75, 13729062.0)	(76, 34472565.0)
