Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR5642565_1	9.336748299342716	46.0	75.44604095244468	76	10.0	41.276266
SRR5642565_2	25.520503700454995	44.0	75.48403552298069	76	10.0	41.276266
SRR5642566_1	9.66709614583334	46.0	75.3069592895547	76	10.0	42.528594
SRR5642566_2	25.378239039480675	44.0	75.35483853522175	76	10.0	42.528594
SRR5642568_1	9.762186894789096	45.0	75.40616030552302	76	10.0	37.636444999999995
SRR5642568_2	24.643446161581693	43.0	75.44876767718098	76	10.0	37.636444999999995
SRR5642569_1	8.799866840597701	46.0	75.44690060648043	76	10.0	48.838345
SRR5642569_2	25.058427978025406	44.0	75.49249535380447	76	10.0	48.838345
SRR5642571_1	31.34793774175033	46.0	75.42289858005081	76	10.0	53.481421
SRR5642571_2	46.09434255151137	44.0	75.46698503018459	76	10.0	53.481421
SRR5642572_1	30.7270489353955	46.0	75.42573175969945	76	10.0	44.678498999999995
SRR5642572_2	44.97446720112632	44.0	75.4674016018309	76	10.0	44.678498999999995
